"Daily Weather Observations for High Range, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2164.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from High Range AWS (Wanganderry) {station 068262}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,8.8,19.7,0.2,,,N,24,12:54,12.1,100,,SW,6,1023.9,18.0,63,,NNE,4,1023.5
,2021-04-2,11.2,23.0,0.2,,,ENE,24,15:04,12.8,100,,N,7,1026.7,22.2,50,,NE,13,1025.9
,2021-04-3,11.3,22.9,0,,,NNE,26,20:26,16.1,59,,N,11,1025.9,21.9,43,,N,11,1022.6
,2021-04-4,12.6,25.3,0.2,,,WSW,33,10:20,18.7,67,,W,19,1020.5,24.4,45,,SW,11,1017.8
,2021-04-5,12.3,22.5,0,,,S,33,06:16,17.5,91,,S,22,1020.8,21.7,61,,SSE,9,1019.1
,2021-04-6,13.1,20.1,0,,,ENE,20,17:10,17.2,100,,ENE,9,1023.0,18.6,87,,E,15,1020.5
,2021-04-7,13.3,21.6,0,,,ENE,26,12:37,16.7,97,,E,9,1020.5,19.2,66,,E,11,1016.4
,2021-04-8,12.8,21.8,0.4,,,NNE,26,16:57,14.8,100,,E,6,1014.6,21.5,58,,NNE,15,1010.1
,2021-04-9,14.3,22.4,0,,,W,63,14:55,16.7,68,,WNW,22,1006.2,21.1,39,,W,46,1003.1
,2021-04-10,8.3,14.8,0,,,WSW,63,09:39,9.6,67,,W,30,1005.7,11.6,61,,W,43,1004.4
,2021-04-11,5.8,10.4,0,,,W,72,12:02,7.1,63,,W,39,1007.3,8.9,53,,W,43,1008.8
,2021-04-12,2.5,13.9,0,,,W,48,00:15,6.8,66,,WSW,24,1017.4,13.4,41,,SW,19,1016.8
,2021-04-13,5.7,17.6,0,,,N,26,10:54,11.2,68,,NNE,9,1020.8,16.7,49,,NNW,7,1017.0
,2021-04-14,10.8,20.0,0,,,WNW,63,10:20,14.9,38,,WNW,26,1014.2,18.3,30,,WNW,24,1012.5
,2021-04-15,9.6,,0,,,,,,13.0,55,,W,30,1015.2,16.5,46,,W,22,1012.6
,2021-04-16,7.8,17.1,,,,W,39,00:22,11.6,61,,SW,17,1020.3,16.1,50,,N,13,1019.6
,2021-04-17,8.3,13.7,0,,,NNE,24,10:37,10.7,93,,N,9,1022.0,12.1,79,,NNE,13,1020.0
,2021-04-18,5.6,17.7,0,,,S,20,07:49,9.4,100,,SSW,11,1020.9,16.8,45,,SW,6,1017.9
,2021-04-19,6.7,18.0,0.2,,,WSW,31,18:19,11.0,60,,NNE,13,1017.8,17.6,36,,WNW,15,1014.3
,2021-04-20,7.3,16.7,0,,,WSW,65,22:25,11.2,66,,W,26,1014.1,15.8,47,,NW,22,1010.1
,2021-04-21,5.2,13.4,0.6,,,WSW,44,04:27,8.0,79,,WSW,22,1012.4,12.6,43,,S,17,1011.8
,2021-04-22,3.1,11.6,0,,,W,61,16:49,7.3,64,,W,28,1010.8,10.8,52,,WSW,33,1009.8
,2021-04-23,5.6,15.4,0,,,WSW,56,08:51,9.4,64,,WSW,30,1015.7,14.4,46,,W,19,1015.2
,2021-04-24,6.3,16.2,0,,,W,43,21:21,9.8,64,,WSW,19,1021.1,15.3,49,,WSW,20,1019.0
,2021-04-25,5.5,17.2,0,,,W,33,00:26,9.9,82,,SW,15,1023.3,16.2,48,,NNW,6,1021.1
,2021-04-26,6.9,17.6,0,,,NNW,19,11:15,10.4,87,,WNW,7,1024.2,17.1,39,,WNW,4,1022.6
,2021-04-27,8.3,18.6,0,,,N,20,09:01,12.5,88,,N,17,1026.6,17.7,48,,NE,7,1024.1
,2021-04-28,9.2,17.6,0,,,NNE,24,10:51,11.9,100,,NNE,11,1025.0,16.5,66,,NE,9,1022.5
,2021-04-29,7.6,19.1,0.2,,,SW,20,14:01,15.2,84,,NW,2,1023.8,18.3,44,,S,6,1022.2
,2021-04-30,7.6,18.4,0.2,,,N,30,13:40,13.3,100,,NNE,11,1028.1,17.3,59,,N,17,1026.2
