"Daily Weather Observations for Armidale Airport, New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2165.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Armidale Airport AWS {station 056238}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,7.8,17.5,0.6,,,NW,50,09:05,12.2,95,8,NW,31,1018.4,17.0,67,1,WNW,24,1016.5
,2020-10-2,3.3,22.0,0.2,,,E,24,22:20,15.9,66,,NNE,7,1023.6,21.0,31,,S,15,1022.7
,2020-10-3,5.0,23.9,0,,,ENE,26,17:48,17.4,45,,NE,15,1027.0,23.2,30,,SW,15,1023.0
,2020-10-4,5.1,25.0,0,,,WNW,28,12:01,14.9,74,,ENE,6,1024.4,24.1,43,,W,11,1020.7
,2020-10-5,5.7,22.7,0,,,WSW,30,14:49,13.3,84,,W,13,1022.4,21.6,40,,WSW,13,1019.2
,2020-10-6,8.1,25.0,0,,,ENE,35,19:18,17.8,55,,WNW,9,1020.2,24.6,35,1,E,7,1017.6
,2020-10-7,9.2,23.8,0,,,SW,30,12:53,16.2,77,,ENE,13,1019.3,22.4,49,6,WSW,13,1017.0
,2020-10-8,11.3,24.8,0,,,NW,52,12:36,18.0,61,7,NW,24,1015.9,24.0,47,4,NW,30,1013.3
,2020-10-9,8.4,20.4,1.2,,,W,48,13:40,13.1,55,,WSW,19,1015.0,19.9,26,,W,28,1013.7
,2020-10-10,2.1,20.2,0,,,WSW,35,13:08,11.5,63,,SW,13,1019.2,19.3,25,,WSW,15,1016.9
,2020-10-11,3.6,21.4,0,,,E,37,19:17,13.3,70,,NW,2,1021.3,20.3,33,2,WSW,11,1018.5
,2020-10-12,8.2,20.6,0,,,SSE,35,13:11,12.7,71,7,NE,17,1022.4,17.9,50,1,E,19,1018.8
,2020-10-13,10.0,20.5,1.0,,,E,31,16:11,13.6,88,,SE,7,1022.5,17.9,53,8,S,11,1020.5
,2020-10-14,6.7,20.2,0.2,,,E,41,11:07,11.7,76,,ESE,19,1024.4,19.6,34,,ESE,22,1021.7
,2020-10-15,4.2,22.8,0.2,,,ESE,24,11:04,14.1,55,,E,13,1021.4,21.8,30,,SW,11,1016.9
,2020-10-16,8.2,23.1,0,,,WSW,33,10:33,17.6,56,,WNW,20,1018.3,21.9,44,7,SSW,17,1017.0
,2020-10-17,8.6,25.3,0,,,W,43,12:23,18.9,55,,WNW,13,1016.9,24.2,32,1,NW,28,1013.8
,2020-10-18,13.6,20.7,0,,,SW,44,15:16,16.3,62,7,NW,30,1013.8,15.0,77,8,WSW,24,1012.0
,2020-10-19,9.9,17.6,6.6,,,E,35,22:01,13.2,83,8,SSE,17,1012.6,15.8,77,8,SSE,20,1012.8
,2020-10-20,9.0,19.3,0.4,,,E,33,18:54,11.6,93,7,E,19,1016.7,18.3,61,1,SE,20,1014.5
,2020-10-21,9.1,22.7,0,,,SE,35,17:29,14.8,76,,NE,2,1016.3,21.7,46,5,SW,17,1013.1
,2020-10-22,11.1,18.0,32.6,,,SW,26,14:17,13.1,99,8,N,7,1014.9,17.2,67,8,SE,6,1012.7
,2020-10-23,9.7,23.6,0.2,,,WNW,30,12:08,15.9,86,,NNW,6,1015.3,22.8,56,1,NW,22,1012.0
,2020-10-24,14.6,17.5,4.8,,,NNW,52,10:38,15.9,87,8,NNW,19,1010.2,16.5,92,6,NW,31,1006.8
,2020-10-25,11.8,21.9,9.6,,,NW,50,10:23,16.7,84,8,NW,24,1009.6,19.5,63,8,NNW,20,1008.6
,2020-10-26,9.8,20.3,9.6,,,NW,37,10:29,12.5,99,8,W,17,1011.9,19.9,47,1,NW,19,1010.4
,2020-10-27,8.6,19.5,0,,,E,39,22:17,12.3,87,4,E,9,1016.6,18.9,48,3,SSE,11,1013.2
,2020-10-28,9.8,20.6,0,,,W,69,17:07,15.4,82,7,ENE,20,1016.2,12.5,88,8,E,17,1011.9
,2020-10-29,4.5,18.9,33.8,,,WSW,39,13:13,13.9,90,,W,15,1010.7,14.3,76,8,WSW,11,1008.5
,2020-10-30,6.3,23.2,2.6,,,NW,89,16:54,16.3,57,8,NW,15,1010.1,22.2,38,1,N,22,1007.4
,2020-10-31,11.0,20.8,0.6,,,NNW,61,14:23,16.1,55,,NW,30,1008.1,19.1,42,3,NW,33,1007.2
