"Daily Weather Observations for Armidale Airport, New South Wales for November 2020"
"Prepared at 13:00 UTC on Monday 11 October 2021   IDCJDW2165.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Armidale Airport AWS {station 056238}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,5.1,18.9,0,,,W,39,11:53,12.6,81,7,W,22,1014.2,16.6,57,8,WSW,24,1013.8
,2020-11-2,7.1,17.7,0,,,ESE,39,11:10,12.6,81,8,ESE,20,1022.1,16.3,67,7,SE,17,1020.9
,2020-11-3,3.1,20.0,0,,,E,31,07:30,10.7,86,2,E,20,1021.9,19.4,47,,SE,11,1019.2
,2020-11-4,8.2,23.4,0,,,WNW,35,11:41,14.2,71,,NE,4,1016.5,22.3,53,,W,19,1012.8
,2020-11-5,10.9,23.2,0,,,W,56,13:53,20.1,61,,WNW,13,1008.2,17.5,74,4,WSW,39,1006.0
,2020-11-6,4.7,18.4,0,,,WSW,46,13:59,11.9,69,6,S,22,1012.7,18.2,49,1,W,22,1012.8
,2020-11-7,3.9,21.3,0,,,ESE,33,18:06,15.3,63,1,E,9,1016.6,19.2,46,8,SSW,17,1015.9
,2020-11-8,8.2,17.5,0.2,,,E,43,20:39,10.9,80,8,E,26,1023.2,15.4,61,4,ESE,15,1022.0
,2020-11-9,5.9,18.5,0.2,,,ENE,31,07:10,10.9,74,3,ENE,22,1023.1,18.5,56,3,SE,15,1020.3
,2020-11-10,7.5,22.2,0,,,E,30,01:08,13.3,88,,ENE,9,1021.3,21.0,46,,S,11,1017.2
,2020-11-11,7.2,23.3,0.2,,,WNW,30,07:23,17.3,66,,WNW,20,1018.4,22.8,42,3,S,13,1015.0
,2020-11-12,9.7,24.5,0,,,NNW,43,07:44,18.8,56,,NW,28,1014.5,23.4,46,8,NNW,20,1010.6
,2020-11-13,12.7,22.0,5.2,,,NW,61,11:58,12.7,98,8,NW,30,1009.9,21.1,67,3,NW,26,1005.5
,2020-11-14,12.5,24.6,1.0,,,WSW,46,12:54,17.9,76,6,NW,20,1009.3,23.1,45,6,W,24,1009.1
,2020-11-15,7.8,27.1,0,,,ENE,24,22:53,19.9,56,,ENE,13,1017.0,25.8,30,,S,6,1015.7
,2020-11-16,10.0,31.1,0,,,WSW,50,20:09,24.3,51,,NW,28,1017.6,30.3,32,,NW,24,1014.0
,2020-11-17,14.9,28.0,1.8,,,E,37,21:47,19.1,77,8,NNE,15,1015.4,27.0,26,,WSW,15,1015.1
,2020-11-18,9.4,23.7,0,,,E,41,23:09,14.5,72,,E,26,1021.7,23.0,48,,ESE,19,1018.7
,2020-11-19,11.6,28.1,0,,,E,33,00:24,16.1,79,,E,15,1021.5,27.8,38,1,SSW,11,1018.5
,2020-11-20,10.6,29.1,0,,,SE,46,17:16,23.4,52,,NW,17,1020.5,28.7,36,5,SW,17,1018.5
,2020-11-21,11.8,29.6,0,,,S,52,14:14,23.1,54,,ESE,20,1021.1,27.7,27,8,SE,13,1018.6
,2020-11-22,14.5,30.3,0,,,SW,46,16:52,24.2,50,,W,9,1019.2,29.1,34,8,WSW,15,1015.4
,2020-11-23,15.5,28.9,13.8,,,NW,59,12:26,22.6,53,2,NW,28,1012.8,26.2,34,8,WNW,31,1008.7
,2020-11-24,12.6,26.5,1.4,,,ENE,39,17:49,19.1,65,,ENE,13,1008.4,25.2,35,1,W,11,1006.0
,2020-11-25,9.9,25.1,0,,,ENE,39,19:08,16.6,54,,E,20,1012.4,25.0,40,1,SW,9,1009.5
,2020-11-26,8.7,27.5,0,,,WSW,37,12:03,20.5,65,,W,20,1013.7,26.2,36,1,WSW,15,1011.9
,2020-11-27,12.3,29.0,0,,,ESE,33,08:15,20.4,68,,ESE,20,1017.7,27.8,29,,E,13,1015.3
,2020-11-28,12.1,31.9,0,,,W,31,09:12,23.8,45,,W,17,1016.5,31.0,27,,SSE,6,1012.9
,2020-11-29,17.4,32.2,0,,,WNW,52,12:31,25.1,41,,NW,28,1012.4,31.2,26,,WNW,37,1009.0
,2020-11-30,16.6,26.6,0,,,E,41,18:11,18.8,68,,ESE,26,1013.7,25.5,51,,E,24,1011.8
