"Daily Weather Observations for Bathurst Airport, New South Wales for May 2021"
"Prepared at 13:00 UTC on Tuesday 19 October 2021   IDCJDW2166.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bathurst Airport AWS {station 063291}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,2.2,22.8,0,,,NE,22,18:39,9.2,100,, ,Calm,1030.0,22.0,37,8,NE,13,1027.8
,2021-05-2,5.9,19.8,0,,,W,19,15:17,10.3,100,7,ENE,6,1029.8,19.2,56,1,W,11,1026.0
,2021-05-3,4.3,21.8,0.2,,,SW,33,22:39,7.2,100,8, ,Calm,1025.1,15.1,79,8,N,13,1020.5
,2021-05-4,7.2,14.2,16.6,,,SW,17,17:01,10.2,100,8,N,9,1018.4,13.5,89,8,N,2,1015.3
,2021-05-5,6.8,16.0,1.8,,,SE,31,15:39,11.4,100,8,S,9,1016.4,14.7,75,8,SE,17,1014.5
,2021-05-6,8.2,19.6,0,,,S,33,10:45,14.8,94,4,SSW,13,1015.0,18.8,69,1,SE,22,1012.3
,2021-05-7,10.3,21.1,0.2,,,SSW,31,13:14,13.9,100,4,SW,7,1013.7,18.8,75,8,S,15,1011.3
,2021-05-8,8.5,20.4,0.8,,,WSW,31,13:33,10.8,100,8, ,Calm,1016.9,18.0,47,,WSW,15,1015.7
,2021-05-9,9.8,19.7,0.6,,,NW,19,13:44,11.3,99,8, ,Calm,1021.3,17.5,50,8, ,Calm,1018.1
,2021-05-10,6.0,18.6,0,,,WNW,37,12:38,10.4,99,,WSW,2,1018.5,17.9,50,2,W,24,1014.5
,2021-05-11,8.3,16.7,3.2,,,NW,35,10:31,12.1,100,,N,19,1016.1,13.7,60,8,WSW,17,1016.0
,2021-05-12,2.5,18.9,0.4,,,NE,28,09:28,9.9,100,,WSW,4,1020.8,17.7,45,4,NNE,20,1017.9
,2021-05-13,3.6,17.1,0.2,,,WSW,33,15:46,7.1,100,8, ,Calm,1017.2,16.0,53,,WSW,22,1013.0
,2021-05-14,5.5,12.3,0,,,WSW,43,15:31,8.1,73,8,WSW,24,1015.6,10.2,58,8,WSW,28,1015.3
,2021-05-15,6.2,9.9,0,,,WSW,56,12:27,8.4,68,8,W,26,1015.6,8.6,64,4,WSW,30,1014.9
,2021-05-16,-3.8,12.5,0.8,,,WSW,31,15:12,2.4,85,,NNW,2,1023.1,11.3,33,,WSW,20,1020.3
,2021-05-17,-1.1,12.4,0,,,SW,30,12:45,6.7,76,8,W,9,1024.7,10.7,61,8,SW,17,1024.3
,2021-05-18,-3.0,15.7,0,,,NW,24,12:15,1.6,99,,SW,6,1029.6,14.9,42,,NW,11,1026.7
,2021-05-19,-3.7,16.4,0,,,N,26,13:48,0.9,99,,SW,7,1030.0,16.1,40,,NW,13,1026.8
,2021-05-20,-2.9,17.4,0,,,WSW,28,14:35,3.9,99,1, ,Calm,1029.5,16.0,30,2,WSW,22,1027.0
,2021-05-21,-0.4,18.7,0,,,SSE,28,15:08,5.4,90,,SW,4,1030.9,16.6,50,2,E,9,1027.7
,2021-05-22,0.0,17.9,0.2,,,SSW,15,18:11,3.5,100,8,WSW,2,1028.9,16.3,36,,SW,4,1024.9
,2021-05-23,-1.5,18.0,0.2,,,E,17,17:26,2.4,100,7, ,Calm,1028.3,16.9,38,,SW,6,1026.2
,2021-05-24,0.9,17.7,0,,,ENE,28,13:03,6.5,100,7,NE,6,1031.2,16.1,59,7,ENE,13,1028.2
,2021-05-25,0.5,19.1,0,,,NNW,41,12:56,6.0,100,5,SW,7,1026.8,16.1,47,,NNW,20,1022.1
,2021-05-26,5.4,14.4,4.2,,,WSW,44,13:49,9.6,94,1,W,9,1020.0,12.7,53,,W,30,1019.3
,2021-05-27,0.6,12.6,0,,,SW,43,14:03,6.2,87,,WNW,2,1026.6,9.9,61,5,WSW,28,1024.3
,2021-05-28,4.5,12.1,0,,,SSW,35,11:59,8.2,69,5,SW,24,1025.5,11.6,49,,SSW,20,1024.7
,2021-05-29,-4.5,15.1,0,,,SSW,30,16:13,1.2,90,,S,13,1029.3,14.5,23,,SSW,17,1026.4
,2021-05-30,-3.1,14.3,0,,,SE,24,11:05,2.6,96,6,SE,6,1029.1,13.4,50,,SSE,9,1025.6
,2021-05-31,-2.5,16.0,0,,,SE,15,19:31,-1.0,100,8,WSW,4,1026.6,15.1,28,,W,4,1023.1
