"Daily Weather Observations for Cobar Airport, New South Wales for September 2020"
"Prepared at 13:00 UTC on Wednesday 13 October 2021   IDCJDW2169.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cobar Airport AWS {station 048237}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,-0.3,20.9,0,,,ENE,24,08:39,10.9,55,,E,17,1023.6,20.0,24,,NE,9,1018.7
,2020-09-2,7.6,28.2,0,,,NNW,48,14:08,17.0,32,,NNE,17,1018.9,27.9,16,,WNW,20,1014.7
,2020-09-3,13.6,29.4,0,,,NW,54,13:33,21.8,31,,NNW,22,1017.6,28.3,22,,NW,31,1014.5
,2020-09-4,10.7,24.3,2.2,,,ESE,24,06:56,16.1,60,,SE,11,1018.4,23.8,30,,SW,13,1015.0
,2020-09-5,3.8,22.4,0,,,SSW,33,10:42,15.2,48,,S,2,1020.8,20.8,31,,SW,17,1019.1
,2020-09-6,9.1,22.8,0,,,ENE,35,11:36,16.6,53,,ENE,17,1025.8,21.9,28,,E,15,1022.6
,2020-09-7,11.1,27.0,0,,,NE,37,08:43,17.3,60,,NE,26,1026.8,26.2,30,,NE,20,1023.3
,2020-09-8,16.3,30.5,0,,,NNE,43,08:55,21.9,49,,NNE,30,1026.6,29.7,28,,N,17,1022.7
,2020-09-9,14.8,23.9,0,,,S,43,16:35,20.0,53,,NE,11,1024.3,23.1,42,,SSE,26,1022.3
,2020-09-10,11.1,22.1,2.0,,,E,39,07:31,13.5,88,,ENE,22,1024.3,21.1,46,,ESE,19,1021.7
,2020-09-11,9.6,23.0,0.2,,,ENE,35,00:19,14.8,56,,ENE,17,1028.9,22.1,31,,ENE,19,1024.4
,2020-09-12,8.3,25.3,0,,,NNE,39,08:23,17.2,51,,NNE,30,1026.9,24.7,27,,N,19,1022.6
,2020-09-13,13.8,26.1,0,,,NE,31,06:39,17.2,40,,NNE,13,1023.3,25.8,26,,WNW,9,1021.1
,2020-09-14,9.3,24.9,0,,,S,35,13:05,16.8,69,,S,22,1027.0,24.1,36,,S,17,1024.0
,2020-09-15,4.5,25.9,0,,,SE,26,15:00,16.4,52,,SE,19,1028.3,25.3,22,,SE,11,1024.0
,2020-09-16,9.9,30.3,0,,,N,37,12:12,22.0,37,,NNE,19,1023.4,29.1,21,,NNW,17,1018.1
,2020-09-17,17.6,32.2,0,,,N,41,12:52,25.0,32,,N,28,1020.9,30.8,20,,NNW,19,1017.7
,2020-09-18,20.0,30.8,0,,,NE,43,14:19,23.8,38,,ENE,19,1024.4,28.9,23,,NE,19,1020.0
,2020-09-19,17.8,19.3,0,,,NE,69,15:10,18.4,66,,NNE,26,1020.3,18.0,77,,NE,37,1014.3
,2020-09-20,15.2,25.4,20.6,,,NNE,56,00:05,18.9,79,,NNW,20,1013.8,24.7,45,,NNW,22,1010.0
,2020-09-21,15.1,30.9,0,,,W,96,15:13,23.0,60,,N,30,1009.2,28.7,48,,NW,15,1004.6
,2020-09-22,9.1,23.0,14.0,,,W,44,14:48,18.5,43,,W,17,1015.3,22.1,31,,WNW,28,1013.8
,2020-09-23,6.6,20.3,0.2,,,SW,39,12:29,15.1,55,,S,17,1019.1,19.1,37,,WSW,19,1015.9
,2020-09-24,5.4,19.5,0,,,SW,43,15:16,12.7,60,,SSW,13,1019.3,18.1,32,,W,19,1014.0
,2020-09-25,9.9,19.8,0,,,WNW,81,11:54,16.7,42,,NW,26,1007.7,10.5,64,,W,31,1008.7
,2020-09-26,,16.7,0.4,,,WSW,41,11:51,10.1,60,,WSW,26,1020.0,14.6,36,,SW,20,1018.9
,2020-09-27,1.4,18.4,0,,,SW,35,13:23,12.4,50,,SE,9,1026.4,17.6,34,,S,13,1023.1
,2020-09-28,,21.0,0,,,S,28,16:26,14.9,44,,ENE,17,1027.0,20.0,27,,SE,13,1022.9
,2020-09-29,4.6,24.9,0,,,NNE,37,11:14,17.7,39,,NE,19,1022.9,24.0,22,,NE,13,1017.8
,2020-09-30,16.7,28.8,0,,,N,52,13:11,21.3,38,,NNE,31,1014.0,28.6,21,,NW,26,1009.0
