"Daily Weather Observations for Cobar Airport, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2169.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cobar Airport AWS {station 048237}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,15.1,28.2,0,,,ESE,31,15:43,19.0,,,ENE,11,1023.3,27.1,,,E,11,1021.4
,2021-04-2,14.1,29.3,0,,,NE,28,11:06,19.4,,,E,13,1024.8,28.2,,,E,13,1022.2
,2021-04-3,16.5,28.9,0,,,NE,31,09:00,19.7,,,NE,17,1023.3,27.8,,,NE,9,1020.0
,2021-04-4,14.2,29.1,0,,,NNE,24,10:58,23.4,,,NE,15,1020.8,28.7,,,NNE,9,1017.0
,2021-04-5,13.8,31.5,0,,,S,31,17:11,23.7,,,SW,13,1019.2,30.4,,,S,9,1015.4
,2021-04-6,16.1,31.0,0,,,SE,33,15:36,22.8,,,ENE,15,1018.9,29.9,,,ESE,17,1015.3
,2021-04-7,18.6,30.2,0,,,NE,30,09:16,22.5,,,NE,15,1017.2,29.5,,,SSE,17,1012.4
,2021-04-8,15.4,30.1,0,,,NNW,30,23:05,23.0,,,ENE,7,1012.9,28.9,,,SSE,7,1008.4
,2021-04-9,14.8,32.7,0,,,W,44,14:07,24.6,,,NW,11,1008.9,31.2,,,WSW,26,1005.9
,2021-04-10,15.3,23.1,0,,,WSW,43,13:23,18.8,,,SSW,15,1011.9,22.7,,,WSW,22,1010.0
,2021-04-11,11.2,18.6,0,,,SSW,43,05:36,13.1,,,SSW,30,1018.8,17.7,,,SSW,28,1017.4
,2021-04-12,3.5,20.0,0,,,SSW,28,14:10,12.0,,,SE,11,1023.5,19.0,,,SSE,11,1019.6
,2021-04-13,4.8,24.9,0,,,NNE,35,12:54,16.3,,,NE,17,1021.2,24.1,,,NNW,13,1016.7
,2021-04-14,12.7,28.7,0,,,NW,35,13:22,19.9,,,NNW,13,1017.6,26.4,,,W,17,1014.8
,2021-04-15,8.6,25.1,0,,,S,44,12:39,18.3,,,SSE,15,1018.4,23.9,,,SW,15,1015.6
,2021-04-16,13.3,21.9,0,,,SSE,30,11:53,16.1,,,SSE,11,1022.0,21.0,,,S,13,1019.8
,2021-04-17,6.0,21.9,0,,,S,37,13:00,15.3,,,SSE,13,1023.7,21.0,,,SSW,20,1020.9
,2021-04-18,2.8,21.2,0,,,S,31,10:27,11.5,,,S,13,1024.0,20.8,,,SSE,19,1019.7
,2021-04-19,4.3,23.0,0,,,SSW,24,14:27,16.6,,,ENE,7,1020.8,22.0,,,ENE,6,1016.2
,2021-04-20,6.1,25.0,0,,,NW,37,13:10,15.2,,, ,Calm,1017.2,24.0,,,WNW,20,1012.8
,2021-04-21,8.5,19.1,0,,,SSW,31,00:04,11.2,,,S,17,1018.7,17.7,,,W,11,1015.4
,2021-04-22,1.8,20.1,0,,,SW,39,12:00,13.4,,,WNW,4,1018.3,19.3,,,WSW,11,1015.9
,2021-04-23,5.9,22.3,0.2,,,SSE,31,10:13,16.3,,,S,13,1021.4,21.9,,,S,11,1018.6
,2021-04-24,4.8,22.1,0,,,S,30,12:45,15.4,,,SSE,7,1024.6,21.1,,,S,19,1022.1
,2021-04-25,4.1,21.7,0,,,S,33,10:28,14.6,,,SSE,11,1026.7,21.2,,,SW,15,1023.5
,2021-04-26,5.3,21.4,0,,,SSE,35,15:36,,,,SSE,13,1026.7,20.6,35,,S,17,1023.7
,2021-04-27,3.7,23.3,0.2,,,SE,26,11:47,15.9,52,,SE,7,1027.6,21.9,28,,SSE,13,1022.7
,2021-04-28,6.5,25.4,0,,,SE,22,16:14,17.0,44,,ENE,6,1024.1,25.0,29,,W,9,1020.5
,2021-04-29,7.4,26.6,0,,,ENE,48,06:59,20.4,42,,NE,13,1023.1,24.5,29,,SSE,13,1020.5
,2021-04-30,9.5,26.3,0,,,ENE,22,08:33,19.2,45,,ENE,11,1025.9,25.7,26,,E,13,1022.8
