"Daily Weather Observations for Cooma Airport, New South Wales for December 2020"
"Prepared at 13:00 UTC on Sunday 10 October 2021   IDCJDW2171.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Cooma Airport AWS {station 070217}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,10.1,30.8,0,,,WNW,63,13:31,19.3,68,,NE,19,1009.0,30.0,32,,NW,30,1005.0
,2020-12-2,6.2,25.0,0,,,ENE,39,16:26,16.0,41,,WNW,4,1015.2,24.2,29,,S,17,1015.4
,2020-12-3,7.2,26.4,0,,,WNW,48,14:54,15.8,56,,N,22,1018.8,24.5,17,,WNW,22,1015.1
,2020-12-4,4.2,25.9,0,,,W,61,11:21,20.2,29,,W,19,1013.2,25.5,21,,W,24,1010.8
,2020-12-5,5.0,29.1,0,,,N,72,14:30,17.8,49,7,NNE,17,1008.3,26.8,23,5,NW,35,999.9
,2020-12-6,9.1,15.9,8.4,,,W,69,05:27,12.1,51,,W,22,997.8,13.1,51,8,WNW,28,1000.2
,2020-12-7,9.0,16.9,0,,,WNW,67,12:10,12.3,52,8,W,31,1000.9,16.2,43,2,WNW,30,1001.0
,2020-12-8,1.1,18.7,0.2,,,SW,41,10:16,6.0,93,8,SSW,20,1011.0,17.3,33,1,SW,24,1010.8
,2020-12-9,-0.2,25.2,0.2,,,NE,35,17:46,14.1,58,,ENE,11,1016.5,24.3,27,,SW,11,1013.7
,2020-12-10,5.7,20.1,0,,,SSE,43,15:26,11.8,91,8,SSW,24,1018.2,18.7,44,,SSW,24,1018.8
,2020-12-11,0.7,19.3,0,,,ENE,41,17:23,10.5,54,2,ENE,11,1027.4,17.6,33,,E,13,1024.6
,2020-12-12,2.5,19.7,0,,,N,46,10:49,12.4,55,5,E,17,1029.4,18.2,44,,ENE,24,1025.8
,2020-12-13,9.6,24.2,0,,,NE,46,17:05,13.7,73,8,NNE,24,1024.1,22.4,38,,NE,24,1020.1
,2020-12-14,5.9,26.0,0,,,NNE,41,10:43,16.7,68,8,NNE,26,1019.8,24.7,37,,NNE,22,1016.5
,2020-12-15,10.7,26.0,0,,,NNE,35,09:05,18.3,64,7,NNE,20,1015.9,25.0,50,7,NE,13,1013.1
,2020-12-16,11.7,20.8,0,,,SSW,26,15:27,18.6,79,8,S,6,1013.6,19.3,96,8,S,17,1009.9
,2020-12-17,15.9,27.7,53.0,,,WNW,39,09:34,20.8,86,,N,11,1005.1,27.3,46,4,W,24,1004.4
,2020-12-18,15.0,25.4,0.6,,,W,56,09:50,21.6,42,,W,19,1005.5,24.5,25,,WNW,28,1005.6
,2020-12-19,8.9,22.6,0,,,ENE,52,14:36,14.0,73,8,NE,13,1014.4,17.9,58,,ENE,35,1011.8
,2020-12-20,6.1,23.7,0,,,ENE,41,17:33,14.8,72,,SSW,6,1012.2,20.8,33,7,ESE,4,1009.1
,2020-12-21,10.1,21.0,9.0,,,NNW,33,18:33,14.5,82,,NE,17,1010.4,20.6,31,4,NNW,9,1006.6
,2020-12-22,9.9,20.8,6.6,,,WSW,54,18:39,15.5,82,4,WSW,13,1000.2,19.1,44,4,WNW,24,1000.2
,2020-12-23,6.6,21.2,0.2,,,SW,46,07:24,13.1,77,5,SW,30,1012.7,18.8,50,2,S,11,1013.2
,2020-12-24,8.4,23.7,0.2,,,E,33,15:28,16.1,67,,E,7,1013.7,22.8,42,2,SW,15,1011.3
,2020-12-25,8.2,19.7,0,,,NE,43,18:23,9.3,74,8,SSW,17,1018.0,17.9,49,6,SSW,17,1016.3
,2020-12-26,9.2,23.9,0,,,N,46,12:27,14.3,74,6,NNE,26,1016.9,21.2,35,8,NW,19,1011.7
,2020-12-27,10.4,28.4,0,,,NW,48,13:23,17.5,70,,NE,19,1011.7,27.6,31,1,NNW,20,1007.1
,2020-12-28,12.6,18.1,0,,,SSW,41,09:14,12.9,82,8,S,28,1007.2,16.1,57,8,S,22,1006.6
,2020-12-29,7.9,19.0,1.4,,,E,30,17:09,10.6,97,7,ENE,11,1012.8,17.9,57,8,E,11,1012.4
,2020-12-30,10.3,25.3,0,,,E,43,15:46,15.0,75,7,NNE,17,1017.0,25.1,39,7,NW,6,1014.8
,2020-12-31,8.4,24.6,0,,,NE,37,16:38,16.5,73,,NE,17,1018.7,21.3,53,7,ENE,20,1017.1
