"Daily Weather Observations for Cooma Airport, New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2171.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Cooma Airport AWS {station 070217}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,14.0,27.5,0,,,WNW,50,17:45,18.7,67,,NNE,20,1013.0,25.0,48,8,WNW,15,1008.8
,2021-02-2,8.6,18.2,14.8,,,SSW,48,07:51,10.1,72,8,SSW,31,1010.3,16.1,56,8,S,30,1009.9
,2021-02-3,7.5,17.8,0,,,SSW,33,10:41,11.6,72,7,SW,17,1012.3,15.6,58,8,SSW,20,1009.3
,2021-02-4,8.2,26.6,0,,,NNE,44,22:37,14.1,99,5,NE,19,1009.4,25.4,36,5,N,24,1007.0
,2021-02-5,13.9,28.1,0.8,,,NNE,54,13:53,17.9,81,8,NE,19,1008.4,24.8,45,8,N,37,1004.2
,2021-02-6,15.3,24.1,48.0,,,WNW,50,11:49,16.2,80,7,N,17,1000.0,23.4,40,,NW,30,998.4
,2021-02-7,7.4,24.0,0.2,,,S,37,17:48,17.5,55,,ENE,4,1005.3,21.7,44,7,SSE,20,1005.3
,2021-02-8,10.4,23.2,0,,,S,35,14:53,12.7,80,8,SSW,7,1012.3,22.8,49,1,S,19,1010.1
,2021-02-9,10.6,22.3,0,,,ENE,39,18:20,12.2,75,8,S,6,1016.2,21.1,41,1,SW,11,1013.7
,2021-02-10,11.2,24.9,0,,,S,37,12:53,13.1,84,7,NE,13,1015.1,23.7,42,1,S,17,1011.2
,2021-02-11,10.0,27.7,0,,,NW,31,22:36,14.7,100,8,NE,15,1011.6,27.0,36,2,NE,7,1008.0
,2021-02-12,14.6,23.2,0,,,NW,48,10:03,19.8,60,8,NW,20,1005.3,21.2,65,8,WNW,19,1003.9
,2021-02-13,13.2,21.3,0,,,SSW,37,13:22,13.8,92,8,S,20,1007.2,20.3,50,1,S,24,1008.6
,2021-02-14,4.5,22.7,0,,,NE,50,17:33,12.8,75,,SSW,2,1015.3,21.7,41,,SW,13,1014.0
,2021-02-15,8.9,21.0,0,,,SSE,41,12:20,13.1,68,8,S,20,1020.2,19.8,47,1,S,22,1019.9
,2021-02-16,9.1,23.7,0,,,NE,41,16:56,15.4,75,,E,6,1022.5,22.2,49,,NE,11,1020.2
,2021-02-17,12.3,21.3,0,,,NE,33,13:57,14.7,80,7,NE,17,1023.4,20.1,48,1,NNE,17,1022.8
,2021-02-18,4.8,22.5,0,,,NE,43,11:35,13.0,91,8,NE,15,1024.7,21.4,45,,NNE,22,1021.9
,2021-02-19,7.8,26.9,0,,,NNE,39,10:08,15.3,83,,NE,20,1020.7,24.9,46,1,NE,26,1015.7
,2021-02-20,11.2,29.6,0.2,,,S,30,14:40,16.7,94,,NE,13,1015.7,26.6,30,1,SE,9,1012.0
,2021-02-21,11.3,29.0,0,,,SSW,48,14:28,20.8,79,8,NE,2,1010.8,26.6,36,1,NNE,6,1007.5
,2021-02-22,11.3,21.8,6.2,,,SSW,41,12:13,17.6,91,,NE,9,1006.3,16.4,83,7,S,28,1005.9
,2021-02-23,7.1,14.1,0.4,,,SSW,48,08:06,8.3,67,8,SSW,35,1012.0,13.2,56,8,SSW,19,1013.5
,2021-02-24,5.9,20.3,0,,,NE,52,16:12,10.9,53,,NE,15,1017.0,18.9,53,8,NE,26,1013.8
,2021-02-25,5.7,24.1,0,,,NW,43,13:04,14.6,82,4,ENE,11,1009.0,22.5,44,4,WNW,20,1006.0
,2021-02-26,1.6,21.9,0,,,SE,31,14:57,11.8,78,,S,15,1007.8,20.9,46,,SSW,20,1007.4
,2021-02-27,10.1,24.5,0,,,NNW,37,12:15,13.0,92,7,NNE,19,1011.2,23.0,31,7,NW,17,1009.2
,2021-02-28,8.0,26.7,0,,,SSW,39,16:28,11.5,93,4,NE,9,1011.3,24.6,23,,WNW,9,1008.7
