"Daily Weather Observations for Coonabarabran Airport, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2172.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Coonabarabran Airport AWS {station 064017}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,15.3,24.3,0,,,ESE,33,23:08,19.4,82,,SSE,13,1015.6,22.3,67,,E,20,1013.0
,2021-01-2,14.3,25.4,0,,,ENE,37,20:03,18.3,85,,ENE,13,1011.4,24.3,63,,ENE,13,1007.1
,2021-01-3,16.4,26.9,23.8,,,NNW,31,12:07,17.6,100,,NNE,15,1006.8,24.2,70,,NW,15,1004.9
,2021-01-4,17.5,26.4,0,,,N,63,13:53,20.6,94,,N,28,1005.1,19.4,86,,NNE,39,1003.4
,2021-01-5,14.4,28.3,59.8,,,WSW,30,14:01,17.9,98,,S,7,1008.1,27.4,46,,SW,20,1007.0
,2021-01-6,17.8,24.2,0.2,,,E,24,22:59,20.3,55,,SSW,11,1010.3,23.6,51,, ,Calm,1009.6
,2021-01-7,14.4,18.8,1.0,,,SE,31,16:10,15.0,100,,SSE,17,1014.9,17.0,93,,SE,15,1015.1
,2021-01-8,12.2,23.1,6.2,,,ESE,33,12:39,17.4,70,,SE,15,1017.7,20.9,60,,ESE,17,1015.7
,2021-01-9,11.8,24.2,0,,,ESE,43,15:36,17.1,72,,E,19,1018.0,23.5,48,,E,24,1015.5
,2021-01-10,12.6,26.8,0,,,ENE,31,16:57,18.3,68,,NE,15,1017.4,25.9,35,,SE,19,1014.8
,2021-01-11,14.6,27.7,0,,,E,26,14:46,19.8,69,,NE,11,1016.0,26.6,50,,ESE,13,1012.9
,2021-01-12,16.0,29.4,0,,,NNW,41,06:25,20.8,68,,NNW,26,1014.2,28.1,44,,SSE,13,1012.2
,2021-01-13,15.5,30.7,0,,,S,30,15:01,22.6,55,,N,17,1014.5,29.8,31,,SW,7,1012.4
,2021-01-14,19.4,32.9,0,,,NNW,44,07:10,22.3,60,,NNW,28,1011.6,31.0,36,,NW,19,1008.9
,2021-01-15,19.7,30.9,0,,,WNW,46,12:29,24.4,51,,NNW,19,1006.7,29.8,40,,NW,28,1004.0
,2021-01-16,10.9,23.9,0,,,SSW,56,00:50,14.7,40,,S,30,1009.6,23.3,25,,SSW,20,1008.6
,2021-01-17,12.7,26.7,0,,,S,30,08:03,18.3,40,,S,19,1012.8,25.0,27,,SSW,13,1011.3
,2021-01-18,17.2,29.5,0,,,SW,33,15:41,19.4,43,,WSW,7,1012.8,28.5,22,,WSW,11,1009.9
,2021-01-19,14.8,29.9,0,,,SSE,33,12:21,22.9,31,,S,9,1013.7,27.8,24,,SE,19,1012.3
,2021-01-20,13.3,28.3,0,,,SSE,35,18:34,19.9,70,,E,20,1017.6,26.6,44,,SE,15,1014.6
,2021-01-21,13.5,28.4,0,,,N,33,09:40,18.4,72,,NNE,17,1016.2,27.4,48,,N,13,1012.2
,2021-01-22,16.8,29.1,21.6,,,N,39,06:08,18.8,81,,N,26,1011.6,28.3,38,,NNW,11,1008.7
,2021-01-23,18.5,32.2,0.2,,,NNW,43,07:41,23.3,61,,NNW,26,1012.7,31.1,36,,W,9,1011.2
,2021-01-24,20.7,32.5,0,,,NNW,44,07:48,22.7,57,,NNW,26,1012.9,31.3,34,,S,15,1010.1
,2021-01-25,19.3,31.6,0,,,NNW,44,07:35,21.7,64,,NNW,30,1009.7,30.1,34,,NNW,11,1006.3
,2021-01-26,19.9,33.3,0,,,NNW,48,08:07,22.7,68,,N,33,1004.9,31.7,34,,NW,17,1002.5
,2021-01-27,21.9,32.7,0,,,E,30,21:07,24.8,61,,NNW,19,1007.2,31.8,42,,WSW,9,1006.8
,2021-01-28,17.0,28.5,0,,,ENE,46,09:48,21.5,75,,SE,15,1013.3,27.3,56,,E,26,1011.3
,2021-01-29,16.0,28.5,0,,,NNE,35,10:21,20.7,76,,ENE,17,1013.2,27.7,41,,NE,9,1009.5
,2021-01-30,18.0,28.7,0.6,,,NNW,33,07:09,18.2,84,,N,20,1011.2,25.4,52,,NNW,13,1009.8
,2021-01-31,18.1,31.2,1.2,,,E,54,16:01,22.3,69,,NNW,17,1012.0,29.6,39,,WNW,13,1010.4
