"Daily Weather Observations for Coonabarabran Airport, New South Wales for March 2021"
"Prepared at 16:00 UTC on Thursday  7 October 2021   IDCJDW2172.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Coonabarabran Airport AWS {station 064017}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,18.1,31.3,0,,,SW,43,22:42,21.9,71,,SSE,9,1010.0,30.2,31,,WSW,22,1008.8
,2021-03-2,16.5,27.2,0,,,S,37,09:00,19.9,43,,S,19,1010.8,26.2,26,,S,19,1009.4
,2021-03-3,11.7,27.0,0,,,S,39,23:06,15.8,82,,S,11,1011.8,26.2,32,,SSW,9,1009.6
,2021-03-4,11.5,27.0,0,,,WSW,37,15:39,16.4,77,,ESE,9,1012.6,25.8,32,,WSW,17,1009.5
,2021-03-5,15.5,27.5,0,,,SW,43,14:13,19.3,43,,SSW,24,1008.0,26.6,27,,SSW,28,1005.6
,2021-03-6,11.6,27.5,0,,,SE,31,18:34,15.8,82,,S,11,1008.4,25.2,39,,NE,9,1007.1
,2021-03-7,13.2,28.2,0,,,N,43,10:10,16.5,78,,NE,19,1012.5,27.6,39,,NNW,15,1009.5
,2021-03-8,16.5,27.1,0,,,N,48,09:20,21.1,81,,N,30,1011.6,24.9,72,,NNE,9,1009.2
,2021-03-9,16.4,30.2,2.2,,,W,35,14:10,18.8,83,,NNW,20,1013.5,29.7,31,,SW,22,1012.1
,2021-03-10,15.7,28.9,0,,,NW,43,14:11,20.4,68,,ENE,17,1017.1,19.4,70,,E,24,1015.8
,2021-03-11,15.1,25.8,24.0,,,NNW,43,16:57,18.7,95,,NNE,13,1019.0,25.0,63,,N,20,1015.3
,2021-03-12,16.1,26.9,9.8,,,N,41,06:20,18.6,95,,N,24,1017.2,25.9,61,,NNW,20,1014.6
,2021-03-13,18.4,28.2,0.2,,,N,37,09:32,20.1,92,,N,22,1015.1,27.3,58,,NNW,20,1011.7
,2021-03-14,19.7,20.2,0,,,N,39,03:53,20.0,93,,NNW,24,1011.3,17.5,100,,S,20,1011.2
,2021-03-15,10.6,23.7,10.2,,,S,30,23:17,13.3,92,,S,13,1017.4,23.0,52,,S,15,1016.6
,2021-03-16,10.7,23.2,0,,,ENE,35,13:55,14.8,76,,ESE,15,1021.1,22.4,45,,E,19,1018.3
,2021-03-17,13.5,17.8,0,,,ESE,43,21:53,15.9,88,,SSE,9,1018.8,14.9,100,,SSE,20,1016.8
,2021-03-18,14.1,21.5,64.4,,,E,44,23:10,16.3,93,,ESE,9,1018.3,20.3,79,,E,24,1016.9
,2021-03-19,13.8,24.9,2.4,,,E,50,11:51,16.9,92,,S,13,1019.7,24.1,56,,E,28,1017.8
,2021-03-20,15.2,23.9,0,,,SSE,37,01:30,17.9,89,,SSE,19,1016.8,22.8,65,,NE,9,1014.5
,2021-03-21,17.2,24.0,0,,,SSE,33,17:10,18.7,85,,ESE,11,1018.2,23.2,68,,E,13,1016.0
,2021-03-22,16.2,17.2,6.2,,,NE,46,09:27,16.6,100,,ENE,24,1015.3,15.9,100,,ENE,31,1012.0
,2021-03-23,15.5,25.1,50.6,,,NNE,37,07:28,17.2,100,,NNE,20,1003.8,23.8,84,,NW,17,1000.4
,2021-03-24,15.9,23.6,11.8,,,WNW,41,13:15,18.3,84,,WSW,17,1004.1,21.5,55,,W,31,1002.6
,2021-03-25,13.5,22.4,0,,,W,35,11:01,16.2,83,,SW,15,1006.9,21.5,53,,WSW,24,1006.6
,2021-03-26,12.1,22.9,0,,,NNW,28,14:08,15.3,74,,SSW,9,1013.5,21.6,44,,NW,13,1010.8
,2021-03-27,13.6,23.4,0,,,W,30,09:47,17.7,57,,N,7,1013.6,23.3,40,,NW,13,1012.0
,2021-03-28,15.2,24.0,0,,,W,31,11:58,17.7,59,,SSW,9,1016.7,22.1,45,,WSW,17,1014.5
,2021-03-29,12.4,22.4,0,,,S,33,10:42,14.8,79,,S,13,1018.3,22.0,44,,S,22,1016.6
,2021-03-30,11.7,23.4,0,,,S,26,14:40,15.0,82,,S,9,1020.4,22.7,41,,WSW,9,1018.2
,2021-03-31,10.5,22.8,0,,,SSE,39,15:33,14.6,80,,ESE,15,1021.4,22.2,46,,SSE,17,1018.9
