"Daily Weather Observations for Glen Innes Airport, New South Wales for September 2020"
"Prepared at 13:00 UTC on Wednesday 13 October 2021   IDCJDW2173.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Glen Innes Airport AWS {station 056243}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,-3.1,19.3,0,,,NNE,26,11:18,13.2,69,,ENE,15,1023.8,18.9,32,,N,11,1019.4
,2020-09-2,0.0,19.1,0.2,,,NW,43,13:05,10.9,92,,N,11,1024.9,18.4,34,,WNW,19,1022.6
,2020-09-3,0.0,19.6,0,,,NNW,35,08:29,14.1,77,,NNW,22,1025.6,18.5,43,,NNW,13,1022.2
,2020-09-4,0.7,20.5,0,,,NW,33,08:09,13.0,86,,NW,22,1023.8,19.6,50,,NW,17,1019.4
,2020-09-5,5.4,18.7,0,,,NNW,39,10:49,14.2,75,,NW,22,1020.1,17.1,62,,NW,20,1017.9
,2020-09-6,3.7,16.4,0,,,E,52,08:56,13.1,66,,E,39,1025.5,14.4,72,,E,26,1025.4
,2020-09-7,5.9,17.8,0,,,E,33,10:14,10.9,81,,ESE,24,1031.0,17.3,57,,E,13,1028.5
,2020-09-8,4.2,19.5,0,,,ESE,30,11:56,13.3,66,,ESE,19,1031.6,18.5,47,,E,17,1027.5
,2020-09-9,0.3,22.0,0,,,SE,31,09:41,15.9,55,,SSE,13,1025.7,19.7,,,ESE,20,1022.1
,2020-09-10,8.8,10.1,2.8,,,ESE,54,23:10,8.8,89,,SE,33,1022.8,8.8,86,,SE,26,1021.6
,2020-09-11,5.2,15.0,8.2,,,ESE,59,08:05,9.8,76,,ESE,41,1027.4,13.1,63,,E,31,1025.4
,2020-09-12,4.0,16.3,0,,,E,44,08:04,9.8,74,,E,31,1028.8,15.0,42,,ENE,11,1025.2
,2020-09-13,1.4,20.3,0,,,E,26,00:45,12.3,62,,N,7,1026.9,19.4,28,,NW,6,1022.8
,2020-09-14,0.1,21.0,0,,,SSW,39,11:30,14.5,68,,WSW,13,1026.7,18.1,,,SSE,13,1023.8
,2020-09-15,2.2,19.1,0,,,ESE,30,10:23,15.1,65,,ENE,15,1028.9,17.9,42,,E,20,1026.1
,2020-09-16,4.1,21.0,0.2,,,E,26,06:33,15.0,66,,E,9,1027.8,20.3,,,W,7,1023.8
,2020-09-17,0.7,22.3,0,,,E,26,16:36,15.9,64,,SW,15,1027.5,21.5,38,,SE,7,1023.5
,2020-09-18,3.2,19.4,0,,,ENE,52,10:41,15.6,60,,ESE,26,1029.4,17.2,51,,E,26,1026.0
,2020-09-19,6.6,19.1,0,,,ENE,54,10:07,13.7,77,,E,33,1026.4,16.8,57,,ENE,31,1022.4
,2020-09-20,9.4,19.4,1.4,,,NNW,35,12:08,13.3,77,,NNE,13,1020.8,18.3,67,,NW,19,1016.4
,2020-09-21,5.8,24.7,0.6,,,NNW,50,10:59,18.8,78,,NNW,28,1018.9,21.1,,,NW,24,1014.9
,2020-09-22,11.1,19.3,2.0,,,WNW,46,09:17,16.9,75,,NW,28,1016.8,17.8,94,,NW,24,1014.9
,2020-09-23,0.7,19.3,5.0,,,WNW,56,13:34,15.4,40,,WSW,30,1017.3,18.1,36,,W,30,1014.2
,2020-09-24,-1.6,16.6,0,,,WSW,48,14:39,11.7,41,,SW,26,1016.8,16.3,,,WSW,24,1014.0
,2020-09-25,-3.5,21.1,0,,,WNW,76,14:53,15.3,22,,NNW,28,1013.8,20.1,16,,NW,48,1007.5
,2020-09-26,1.0,12.6,0,,,W,69,10:20,7.4,54,,W,35,1014.2,11.6,,,W,37,1013.6
,2020-09-27,-6.1,15.3,0,,,W,41,10:43,8.3,45,,WSW,26,1021.5,14.7,31,,WSW,19,1019.5
,2020-09-28,-2.1,17.1,0,,,ENE,30,08:02,11.6,59,,NNE,11,1025.4,16.1,35,,SSE,9,1021.6
,2020-09-29,3.4,17.6,0,,,E,31,03:29,11.4,69,,E,15,1026.1,16.3,34,,S,7,1020.9
,2020-09-30,2.3,14.7,0,,,NW,41,17:21,12.0,69,,ENE,9,1022.1,13.7,57,,NNW,17,1018.6
