"Daily Weather Observations for Glen Innes Airport, New South Wales for March 2021"
"Prepared at 16:00 UTC on Thursday  7 October 2021   IDCJDW2173.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Glen Innes Airport AWS {station 056243}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,13.2,28.4,0,,,W,39,13:07,20.1,93,,WNW,11,1010.6,26.4,47,,SSW,19,1009.1
,2021-03-2,9.6,28.0,0,,,WSW,41,12:16,20.2,84,,WNW,13,1010.6,27.3,33,,WSW,24,1008.3
,2021-03-3,12.0,25.3,0,,,ESE,39,17:50,17.1,90,,ENE,15,1011.5,23.1,64,,NE,15,1009.1
,2021-03-4,12.7,23.4,0.2,,,E,35,23:31,15.0,90,,ESE,20,1012.0,21.5,50,,SW,9,1009.5
,2021-03-5,7.3,25.2,0.2,,,WSW,43,13:22,14.7,100,,W,19,1008.1,24.1,41,,W,28,1005.4
,2021-03-6,10.6,25.0,0,,,E,37,21:33,17.0,77,,E,20,1008.5,22.8,51,,NW,15,1007.4
,2021-03-7,13.7,25.7,0,,,WNW,37,12:34,16.7,80,,NNE,13,1014.2,25.1,42,,NW,24,1011.3
,2021-03-8,14.5,20.0,9.2,,,SW,39,15:52,15.5,98,,N,9,1015.7,19.7,89,,ENE,22,1012.0
,2021-03-9,10.4,25.9,55.4,,,SSW,39,23:23,17.5,86,,WNW,20,1014.7,24.8,57,,W,19,1013.7
,2021-03-10,10.5,,0,,,,,,17.4,82,,ESE,13,1018.5,22.0,63,,ESE,24,1016.5
,2021-03-11,14.2,22.8,,,,E,35,16:30,16.4,90,,E,17,1020.4,22.1,65,,ENE,15,1018.5
,2021-03-12,15.1,24.5,0,,,ESE,28,01:08,16.5,89,,N,11,1019.1,23.5,59,,WNW,11,1016.4
,2021-03-13,12.4,26.0,0.2,,,WNW,28,11:05,17.3,98,,NE,7,1017.3,24.7,59,,W,9,1013.9
,2021-03-14,10.4,23.7,1.2,,,NW,50,15:19,18.1,83,,NW,20,1013.8,22.6,73,,NW,15,1011.0
,2021-03-15,14.1,20.8,18.8,,,ESE,41,22:57,15.6,92,,ESE,20,1015.6,19.1,73,,ESE,17,1016.1
,2021-03-16,11.2,18.8,0,,,ESE,54,10:29,14.5,79,,ESE,26,1020.0,15.6,67,,ESE,28,1018.5
,2021-03-17,12.0,17.0,0,,,ESE,57,10:39,13.7,96,,E,26,1018.5,14.9,96,,ESE,30,1015.9
,2021-03-18,13.0,23.5,1.0,,,ESE,46,17:41,15.6,97,,ESE,19,1017.0,19.7,72,,ESE,26,1016.1
,2021-03-19,13.8,24.1,0.4,,,ESE,48,00:21,16.6,87,,SE,24,1017.0,22.5,60,,SSE,30,1015.3
,2021-03-20,9.9,23.9,0.2,,,NNE,33,14:28,15.0,100,,ESE,13,1017.4,22.3,63,,ESE,19,1015.1
,2021-03-21,14.9,24.4,5.4,,,ESE,41,20:01,17.6,93,,ESE,20,1018.5,23.2,61,,E,17,1016.2
,2021-03-22,14.6,16.1,1.0,,,ESE,50,07:29,14.6,97,,ESE,33,1017.6,14.9,97,,ESE,31,1014.5
,2021-03-23,13.6,19.6,87.2,,,NNW,46,16:07,15.0,99,,E,15,1009.0,18.4,100,,NNW,17,1003.7
,2021-03-24,15.0,20.9,50.4,,,W,48,14:38,16.2,97,,W,20,1003.6,20.2,63,,WNW,33,1002.7
,2021-03-25,7.0,21.1,0,,,WSW,41,12:29,13.8,87,,W,22,1006.3,20.6,57,,W,24,1005.6
,2021-03-26,4.0,21.3,0,,,WNW,31,12:42,13.9,91,,ESE,6,1012.9,20.9,41,,WNW,9,1010.4
,2021-03-27,6.1,21.1,0,,,W,39,12:07,13.7,88,,E,2,1013.8,19.8,57,,W,20,1012.3
,2021-03-28,4.0,22.1,0,,,WSW,28,14:12,13.6,93,,E,9,1016.4,21.1,38,,W,15,1014.4
,2021-03-29,5.0,23.1,0,,,SW,28,14:58,14.5,84,,ESE,9,1017.4,22.5,42,,WNW,11,1015.1
,2021-03-30,9.8,23.2,0,,,SE,28,07:48,14.2,84,,SE,20,1018.9,20.4,48,,SE,6,1016.7
,2021-03-31,6.5,19.9,0,,,ESE,43,09:20,12.3,79,,ESE,22,1019.2,19.4,54,,E,22,1017.7
