"Daily Weather Observations for Glen Innes Airport, New South Wales for July 2021"
"Prepared at 13:00 UTC on Sunday 17 October 2021   IDCJDW2173.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Glen Innes Airport AWS {station 056243}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,5.1,15.5,0.2,,,ENE,30,11:38,10.8,95,,E,13,1026.3,13.1,69,,NNE,15,1023.2
,2021-07-2,9.1,13.5,51.0,,,NNE,24,04:46,10.5,100,,N,9,1022.5,11.4,95,,W,17,1020.3
,2021-07-3,7.1,12.4,3.2,,,NNW,24,12:04,9.7,100,,E,7,1020.7,11.8,90,,W,13,1018.2
,2021-07-4,-2.3,13.6,6.4,,,NNW,19,14:02,6.1,91,,SE,11,1022.7,12.8,46,,NW,13,1020.0
,2021-07-5,-6.1,9.8,0,,,WNW,31,14:20,3.0,85,,E,7,1021.6,9.6,49,,WSW,19,1018.9
,2021-07-6,-3.4,11.0,0,,,NW,26,12:42,3.5,75,,ESE,9,1021.8,10.8,41,,W,11,1020.2
,2021-07-7,-6.2,14.1,0.2,,,WNW,22,13:30,5.1,84,,SE,11,1025.3,13.2,30,,NNW,11,1023.2
,2021-07-8,-4.1,13.9,0.2,,,NNW,35,13:35,5.2,92,,ESE,9,1025.7,12.4,60,,N,11,1021.1
,2021-07-9,5.1,11.3,11.2,,,W,57,13:35,8.8,98,,NNW,13,1015.6,8.4,90,,W,19,1012.6
,2021-07-10,4.7,10.5,6.0,,,WSW,54,05:14,5.7,89,,WSW,20,1017.3,9.2,73,,WSW,22,1017.8
,2021-07-11,4.3,13.8,0,,,SE,50,09:27,8.5,71,,SE,30,1024.1,13.1,45,,ENE,7,1022.7
,2021-07-12,-1.5,13.7,0.2,,,ESE,22,10:15,6.3,88,,ESE,11,1025.4,12.2,47,,W,6,1021.9
,2021-07-13,-3.1,14.3,0.2,,,NW,33,15:31,8.1,95,,NNW,13,1022.7,11.3,55,,NW,19,1020.0
,2021-07-14,1.0,14.7,0,,,NW,43,13:11,8.8,93,,NW,17,1021.2,12.8,68,,NW,24,1017.2
,2021-07-15,8.7,13.9,17.0,,,WNW,74,22:53,11.5,100,,NW,33,1013.9,12.3,96,,NW,26,1010.8
,2021-07-16,10.6,10.9,83.2,,,WNW,85,17:17,10.9,86,,NW,31,1005.9,8.5,91,,NW,39,1003.9
,2021-07-17,1.7,8.3,5.6,,,WNW,69,15:09,4.8,78,,NW,26,1009.4,7.0,73,,WNW,35,1006.8
,2021-07-18,2.1,10.9,0.6,,,WSW,50,11:58,4.6,80,,WSW,28,1016.1,10.1,63,,W,26,1015.6
,2021-07-19,-4.7,12.2,0.2,,,NW,31,13:31,4.8,93,, ,Calm,1020.1,11.1,49,,WNW,20,1016.5
,2021-07-20,1.7,8.6,0,,,WSW,54,09:09,5.2,71,,W,33,1015.7,6.0,71,,W,28,1012.8
,2021-07-21,1.1,8.0,1.8,,,WSW,48,04:35,2.0,94,,WSW,22,1013.1,6.7,64,,SSW,24,1013.9
,2021-07-22,-7.2,12.8,0,,,N,26,12:37,3.7,77,,ESE,11,1019.9,12.0,39,,NNW,13,1015.9
,2021-07-23,-1.5,8.5,0.4,,,NNW,48,06:05,6.7,80,,NNW,28,1015.3,4.9,96,,NNE,6,1010.0
,2021-07-24,4.5,9.9,13.4,,,WNW,50,13:06,8.1,95,,WNW,28,1010.6,8.9,76,,WNW,26,1009.4
,2021-07-25,4.0,9.3,0.4,,,W,74,13:29,6.2,80,,WNW,39,1014.3,7.9,52,,W,54,1013.0
,2021-07-26,-0.9,11.5,0,,,WSW,41,11:22,6.0,72,,W,11,1022.6,10.7,62,,W,20,1020.9
,2021-07-27,-4.5,16.1,0.2,,,NW,33,13:18,6.5,93,,ESE,9,1023.5,15.0,32,,NW,20,1020.9
,2021-07-28,-3.9,16.5,0,,,NNW,43,12:48,9.6,90,,NW,30,1019.8,15.7,54,,NNW,28,1014.0
,2021-07-29,6.9,12.0,9.2,,,W,46,10:50,8.7,87,,WSW,28,1015.8,11.0,47,,SW,24,1015.9
,2021-07-30,-5.8,14.5,0.2,,,N,24,13:21,5.5,68,,ESE,11,1023.2,14.3,27,,N,15,1020.3
,2021-07-31,-3.6,17.3,0,,,NW,28,10:47,8.5,90,,WNW,17,1022.7,17.1,47,,NW,15,1018.1
