"Daily Weather Observations for Goulburn Tafe, New South Wales for March 2021"
"Prepared at 16:00 UTC on Thursday  7 October 2021   IDCJDW2174.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Goulburn Tafe {station 070263}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,12.0,28.8,0.2,,,,,,15.2,94,0, ,Calm,,,,,,,
,2021-03-2,10.6,24.0,0,,,,,,14.7,62,0,W,9,,,,,,,
,2021-03-3,11.0,21.5,0,,,,,,11.7,83,7,E,6,,,,,,,
,2021-03-4,9.9,24.0,0,,,,,,13.2,87,0,N,6,,,,,,,
,2021-03-5,10.1,25.5,0,,,,,,14.1,79,0,NW,6,,,,,,,
,2021-03-6,11.9,22.0,0,,,,,,12.5,83,6,SE,9,,,,,,,
,2021-03-7,9.2,26.5,0,,,,,,14.3,77,1,NE,7,,,,,,,
,2021-03-8,13.8,27.7,0,,,,,,17.3,83,6, ,Calm,,,,,,,
,2021-03-9,12.6,26.7,0,,,,,,17.8,68,1,,,,,,,,,
,2021-03-10,15.0,25.0,0,,,,,,15.9,87,7,NE,9,,,,,,,
,2021-03-11,15.2,26.4,0,,,,,,17.6,84,3,N,6,,,,,,,
,2021-03-12,16.5,24.6,16.2,,,,,,18.0,91,7,N,6,,,,,,,
,2021-03-13,14.0,29.0,0.8,,,,,,19.6,86,1,N,6,,,,,,,
,2021-03-14,15.6,15.6,8.4,,,,,,15.6,98,8,SE,9,,,,,,,
,2021-03-15,4.2,20.5,17.8,,,,,,8.0,89,0, ,Calm,,,,,,,
,2021-03-16,7.0,18.6,0,,,,,,11.7,91,8,SE,6,,,,,,,
,2021-03-17,11.5,17.1,0.6,,,,,,13.3,85,7,SE,19,,,,,,,
,2021-03-18,13.0,17.7,2.6,,,,,,14.7,98,8,E,19,,,,,,,
,2021-03-19,14.0,19.1,2.0,,,,,,14.8,97,8,E,6,,,,,,,
,2021-03-20,14.1,19.2,1.6,,,,,,15.6,94,8,SE,19,,,,,,,
,2021-03-21,15.2,16.3,24.0,,,,,,15.9,94,7,E,19,,,,,,,
,2021-03-22,13.6,15.5,16.4,,,,,,14.9,96,8,NE,19,,,,,,,
,2021-03-23,13.6,17.3,26.2,,,,,,15.0,99,8,NE,19,,,,,,,
,2021-03-24,15.0,21.1,36.2,,,,,,17.0,85,1,W,28,,,,,,,
,2021-03-25,14.0,20.1,0,,,,,,16.9,83,6,W,19,,,,,,,
,2021-03-26,7.2,20.4,0.2,,,,,,11.0,89,0, ,Calm,,,,,,,
,2021-03-27,8.9,20.7,0,,,,,,13.7,80,1,NW,6,,,,,,,
,2021-03-28,7.5,19.5,1.4,,,,,,12.0,88,0,W,6,,,,,,,
,2021-03-29,5.5,21.5,0,,,,,,8.0,99,0,W,6,,,,,,,
,2021-03-30,7.9,18.5,0,,,,,,12.1,91,8,SE,6,,,,,,,
,2021-03-31,6.0,20.0,0,,,,,,7.3,99,8, ,Calm,,,,,,,
