"Daily Weather Observations for Inverell (Raglan Street), New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2176.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Inverell (Raglan St) {station 056242}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,4.2,22.2,1.8,,,,,,14.8,71,8,NW,6,,21.5,53,3,W,6,
,2020-10-2,2.3,26.7,0,,,,,,18.0,52,0,SSE,4,,26.7,18,0,SSW,9,
,2020-10-3,5.2,28.2,0,,,,,,21.4,45,0,N,2,,28.2,24,0,S,2,
,2020-10-4,6.8,27.2,0,,,,,,15.4,68,0,NE,2,,26.2,29,0,NW,2,
,2020-10-5,6.8,27.0,0,,,,,,18.3,54,0,N,4,,25.3,33,0,NW,2,
,2020-10-6,5.4,28.4,0,,,,,,15.7,68,0,SE,2,,27.9,32,1,SW,9,
,2020-10-7,8.8,27.4,0,,,,,,17.2,73,5,NE,2,,27.4,36,7,NE,4,
,2020-10-8,14.1,27.8,0,,,,,,19.2,55,5,NW,6,,,,,,,
,2020-10-9,8.1,24.2,1.8,,,,,,18.1,47,2,W,2,,24.2,26,0,W,6,
,2020-10-10,2.8,25.2,0,,,,,,15.4,49,0,W,4,,24.8,21,1,NW,2,
,2020-10-11,4.3,26.2,0,,,,,,16.2,62,0,NW,2,,25.8,27,2,NW,2,
,2020-10-12,8.3,24.6,0,,,,,,17.8,61,2,NE,9,,23.1,36,6,NNW,13,
,2020-10-13,10.1,24.6,2.2,,,,,,15.6,79,3,E,2,,21.6,50,6,NE,19,
,2020-10-14,5.0,24.8,0,,,,,,15.2,65,1,NE,2,,24.8,29,1,NE,4,
,2020-10-15,4.1,27.3,0,,,,,,14.1,75,0,E,2,,26.4,25,1,NE,2,
,2020-10-16,6.6,28.4,0,,,,,,17.1,57,1,SSE,4,,27.5,26,5,S,4,
,2020-10-17,9.2,29.4,0,,,,,,18.4,64,2,NE,7,,28.9,23,5,NW,13,
,2020-10-18,11.5,25.6,0,,,,,,19.5,57,8,N,13,,21.0,55,8,WSW,13,
,2020-10-19,9.6,24.5,7.8,,,,,,14.8,84,7,SSE,6,,23.3,46,4,SW,15,
,2020-10-20,11.0,25.6,0,,,,,,18.5,63,3,ENE,9,,24.6,38,5,NW,6,
,2020-10-21,8.9,25.5,0,,,,,,16.5,68,5,E,4,,23.5,46,7,N,11,
,2020-10-22,13.7,24.1,4.0,,,,,,16.6,78,6,S,2,,23.3,64,5,NE,2,
,2020-10-23,10.1,24.8,1.4,,,,,,19.2,72,3,NE,4,,24.8,62,3,N,6,
,2020-10-24,16.8,19.4,14.2,,,,,,18.8,90,8,N,4,,17.9,100,8,N,2,
,2020-10-25,14.1,25.1,35.4,,,,,,19.1,80,3,NW,4,,23.7,50,2,NW,6,
,2020-10-26,10.4,23.3,0.2,,,,,,15.1,87,8,N,2,,22.3,44,3,NW,6,
,2020-10-27,8.0,25.6,0,,,,,,17.6,63,6,SSE,2,,25.0,32,7,S,9,
,2020-10-28,12.9,25.7,0,,,,,,20.8,60,3,NE,4,,25.7,47,3,NE,2,
,2020-10-29,9.3,23.3,4.0,,,,,,18.8,69,4,NE,4,,22.8,33,4,SW,6,
,2020-10-30,5.4,27.9,0,,,,,,17.4,63,1,W,2,,27.8,24,2,NE,6,
,2020-10-31,9.8,25.2,0.8,,,,,,21.1,36,1,NW,4,,24.8,25,2,NW,19,
