"Daily Weather Observations for Orange Agricultural Institute, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2178.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Orange Agricultural Institute {station 063254}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,1.1,12.3,0.3,2.6,,,,,9.0,66,5,NW,4,,,,,,,
,2021-06-2,3.4,15.2,0.2,1.1,,,,,7.2,88,4, ,Calm,,,,,,,
,2021-06-3,7.0,10.2,23.8,1.2,,,,,9.4,95,8,N,6,,,,,,,
,2021-06-4,7.2,9.1,22.4,3.0,,,,,7.5,89,8,WSW,11,,,,,,,
,2021-06-5,-0.4,,3.0,1.2,,,,,2.2,96,8, ,Calm,,,,,,,
,2021-06-6,,11.4,,,,,,,,,,,,,,,,,,
,2021-06-7,-0.5,13.2,0.4,1.8,,,,,7.5,87,6, ,Calm,,,,,,,
,2021-06-8,-0.5,12.0,0.2,0.4,,,,,8.6,65,1,NW,31,,,,,,,
,2021-06-9,0.0,4.4,5.0,4.4,,,,,2.3,99,8,NNW,28,,,,,,,
,2021-06-10,-0.3,,,,,,,,0.4,93,8,E,6,,,,,,,
,2021-06-11,-0.5,,24.2,8.8,,,,,3.0,97,6,W,2,,,,,,,
,2021-06-12,,8.4,,,,,,,,,,,,,,,,,,
,2021-06-13,4.5,,1.6,,,,,,6.2,70,8,WSW,11,,,,,,,
,2021-06-14,,7.1,,,,,,,,,,,,,,,,,,
,2021-06-15,-1.0,11.7,0.2,1.6,,,,,3.0,92,7, ,Calm,,,,,,,
,2021-06-16,1.9,13.8,0.2,0.8,,,,,9.3,75,0, ,Calm,,,,,,,
,2021-06-17,2.0,7.4,8.8,1.8,,,,,4.6,83,6,NW,37,,,,,,,
,2021-06-18,4.2,,7.8,2.4,,,,,6.3,90,8,WNW,9,,,,,,,
,2021-06-19,,,,,,,,,,,,,,,,,,,,
,2021-06-20,,12.2,,,,,,,,,,,,,,,,,,
,2021-06-21,2.1,11.5,1.8,2.8,,,,,6.0,86,0, ,Calm,,,,,,,
,2021-06-22,1.0,12.0,0.2,2.0,,,,,5.5,89,1,E,2,,,,,,,
,2021-06-23,4.5,11.6,0,0.8,,,,,7.5,84,8,N,7,,,,,,,
,2021-06-24,4.9,10.3,10.2,0.2,,,,,9.6,39,8,N,19,,,,,,,
,2021-06-25,4.5,,38.2,5.0,,,,,5.4,99,8,NW,11,,,,,,,
,2021-06-26,,,,,,,,,,,,,,,,,,,,
,2021-06-27,,8.0,,,,,,,,,,,,,,,,,,
,2021-06-28,0.2,12.3,5.2,3.8,,,,,5.5,89,0,SE,9,,,,,,,
,2021-06-29,1.7,13.0,0.2,1.2,,,,,7.0,86,1,E,9,,,,,,,
,2021-06-30,5.9,14.0,0.2,1.2,,,,,9.0,80,1,NE,9,,,,,,,
