"Daily Weather Observations for Orange Agricultural Institute, New South Wales for July 2021"
"Prepared at 13:00 UTC on Sunday 17 October 2021   IDCJDW2178.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Orange Agricultural Institute {station 063254}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,5.6,9.5,4.8,1.0,,,,,8.3,96,8,SE,6,,,,,,,
,2021-07-2,5.6,,12.6,0.8,,,,,7.4,96,8,W,4,,,,,,,
,2021-07-3,,,,,,,,,,,,,,,,,,,,
,2021-07-4,,9.7,,,,,,,,,,,,,,,,,,
,2021-07-5,-1.2,7.4,1.0,2.2,,,,,,,2,S,11,,,,,,,
,2021-07-6,-2.1,9.4,0,1.0,,,,,0.9,91,8,SW,2,,,,,,,
,2021-07-7,-2.1,10.9,0,0.6,,,,,3.3,59,1, ,Calm,,,,,,,
,2021-07-8,-1.3,10.7,0,1.4,,,,,4.7,89,7,SE,2,,,,,,,
,2021-07-9,3.7,,4.8,0.8,,,,,6.0,93,8, ,Calm,,,,,,,
,2021-07-10,,,,,,,,,,,,,,,,,,,,
,2021-07-11,,11.5,,,,,,,,,,,,,,,,,,
,2021-07-12,1.5,11.3,1.8,2.8,,,,,5.1,95,1,SE,2,,,,,,,
,2021-07-13,2.5,12.1,0.2,1.6,,,,,6.7,95,8,NNW,4,,,,,,,
,2021-07-14,4.0,10.0,0,1.2,,,,,7.0,75,8,NNW,9,,,,,,,
,2021-07-15,5.0,13.0,9.4,1.4,,,,,9.5,93,8,NW,30,,,,,,,
,2021-07-16,6.0,,11.4,2.6,,,,,6.5,90,8,WNW,31,,,,,,,
,2021-07-17,,,,,,,,,,,,,,,,,,,,
,2021-07-18,,8.4,,,,,,,,,,,,,,,,,,
,2021-07-19,0.6,5.6,50.0,7.0,,,,,3.8,72,8,NW,6,,,,,,,
,2021-07-20,2.5,6.9,4.2,1.6,,,,,3.7,87,8,WNW,20,,,,,,,
,2021-07-21,0.0,5.9,20.2,2.8,,,,,1.5,88,1,SW,9,,,,,,,
,2021-07-22,-2.8,8.8,0.2,1.2,,,,,2.2,65,0,NNW,2,,,,,,,
,2021-07-23,2.0,,5.6,2.2,,,,,4.4,94,8, ,Calm,,,,,,,
,2021-07-24,,,,,,,,,,,,,,,,,,,,
,2021-07-25,,7.1,,,,,,,,,,,,,,,,,,
,2021-07-26,0.9,7.5,47.8,5.6,,,,,5.8,96,8,WNW,13,,,,,,,
,2021-07-27,3.5,11.2,1.4,0.2,,,,,5.8,86,1,WNW,2,,,,,,,
,2021-07-28,4.8,10.7,0,3.2,,,,,10.0,50,8,NW,19,,,,,,,
,2021-07-29,2.1,7.5,7.4,0.8,,,,,2.9,85,7,W,2,,,,,,,
,2021-07-30,-3.2,,0.2,1.6,,,,,3.0,54,0,S,2,,,,,,,
