"Daily Weather Observations for Mount Hope, New South Wales for November 2020"
"Prepared at 13:00 UTC on Monday 11 October 2021   IDCJDW2181.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Euabalong (Mount Hope AWS) {station 049136}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,10.8,28.5,0,,,,,,19.0,65,,,,,26.6,31,,,,
,2020-11-2,11.8,29.4,0,,,,,,20.8,44,,,,,28.3,26,,,,
,2020-11-3,13.6,31.4,0,,,,,,21.8,44,,,,,30.0,17,,,,
,2020-11-4,14.8,34.8,0,,,,,,24.7,32,,,,,34.4,13,,,,
,2020-11-5,13.6,21.2,0.6,,,,,,14.6,48,,,,,20.0,24,,,,
,2020-11-6,4.5,23.9,0,,,,,,14.3,48,,,,,23.7,20,,,,
,2020-11-7,9.7,26.2,0,,,,,,15.2,51,,,,,24.8,22,,,,
,2020-11-8,8.2,29.5,0,,,,,,18.7,52,,,,,28.1,24,,,,
,2020-11-9,15.6,31.1,0,,,,,,21.0,45,,,,,29.1,25,,,,
,2020-11-10,17.9,33.7,0,,,,,,23.7,32,,,,,32.6,19,,,,
,2020-11-11,21.3,35.0,0,,,,,,27.8,26,,,,,33.5,17,,,,
,2020-11-12,18.4,30.7,2.0,,,,,,24.1,56,,,,,30.2,39,,,,
,2020-11-13,15.8,27.2,0,,,,,,18.9,55,,,,,26.5,33,,,,
,2020-11-14,8.0,30.1,0,,,,,,21.6,34,,,,,29.1,17,,,,
,2020-11-15,11.5,39.2,0,,,,,,26.6,24,,,,,37.7,9,,,,
,2020-11-16,24.1,26.2,0,,,,,,25.4,28,,,,,24.9,35,,,,
,2020-11-17,11.1,28.3,0,,,,,,16.9,44,,,,,27.1,14,,,,
,2020-11-18,9.1,34.3,0,,,,,,21.9,25,,,,,31.9,13,,,,
,2020-11-19,16.2,39.0,0,,,,,,27.5,39,,,,,37.0,13,,,,
,2020-11-20,13.9,41.1,0,,,,,,32.8,20,,,,,39.9,7,,,,
,2020-11-21,19.3,41.4,0,,,,,,28.5,23,,,,,40.7,8,,,,
,2020-11-22,26.4,38.7,0,,,,,,29.4,34,,,,,36.4,21,,,,
,2020-11-23,20.1,29.6,3.2,,,,,,20.2,94,,,,,25.5,72,,,,
,2020-11-24,14.0,28.9,3.8,,,,,,17.2,61,,,,,27.4,20,,,,
,2020-11-25,14.6,34.0,0,,,,,,23.2,43,,,,,32.3,23,,,,
,2020-11-26,15.4,37.9,0,,,,,,29.3,32,,,,,36.4,17,,,,
,2020-11-27,20.0,41.6,0,,,,,,30.8,30,,,,,39.2,13,,,,
,2020-11-28,27.4,42.7,0,,,,,,35.9,24,,,,,40.4,17,,,,
,2020-11-29,24.1,28.5,5.6,,,,,,26.6,44,,,,,25.2,39,,,,
,2020-11-30,13.9,36.0,0.4,,,,,,22.6,38,,,,,33.4,15,,,,
