"Daily Weather Observations for Mount Hope, New South Wales for October 2021"
"Prepared at 05:36 UTC on Tuesday 26 October 2021   IDCJDW2181.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Euabalong (Mount Hope AWS) {station 049136}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,7.0,19.3,5.4,,,,,,14.0,91,,,,,17.4,68,,,,
,2021-10-2,12.2,19.5,1.2,,,,,,12.9,94,,,,,18.3,65,,,,
,2021-10-3,5.5,25.0,0.4,,,,,,12.1,99,,,,,23.2,44,,,,
,2021-10-4,8.8,22.3,0,,,,,,14.0,63,,,,,20.8,39,,,,
,2021-10-5,5.1,19.8,0,,,,,,12.8,71,,,,,18.8,38,,,,
,2021-10-6,1.9,24.6,0,,,,,,14.7,56,,,,,23.9,23,,,,
,2021-10-7,9.1,21.4,0,,,,,,15.3,59,,,,,20.8,28,,,,
,2021-10-8,1.5,24.8,0,,,,,,13.9,51,,,,,24.1,26,,,,
,2021-10-9,5.4,32.1,0,,,,,,18.4,51,,,,,29.9,25,,,,
,2021-10-10,10.9,21.0,0,,,,,,16.7,55,,,,,16.8,82,,,,
,2021-10-11,6.3,19.7,1.0,,,,,,11.8,54,,,,,18.7,28,,,,
,2021-10-12,9.8,16.8,0.8,,,,,,12.2,83,,,,,14.9,72,,,,
,2021-10-13,8.9,24.7,0,,,,,,13.7,81,,,,,23.9,35,,,,
,2021-10-14,5.0,22.7,5.2,,,,,,13.7,85,,,,,21.2,26,,,,
,2021-10-15,6.1,16.6,1.0,,,,,,11.2,96,,,,,12.5,81,,,,
,2021-10-16,7.5,20.7,3.2,,,,,,10.9,74,,,,,19.1,46,,,,
,2021-10-17,1.6,24.2,0.2,,,,,,15.1,63,,,,,22.4,30,,,,
,2021-10-18,4.0,28.3,0,,,,,,19.4,42,,,,,27.3,19,,,,
,2021-10-19,10.6,24.2,0,,,,,,16.8,48,,,,,23.6,21,,,,
,2021-10-20,3.6,26.6,0,,,,,,16.5,48,,,,,25.8,27,,,,
,2021-10-21,11.2,28.5,0,,,,,,15.9,61,,,,,27.2,27,,,,
,2021-10-22,10.2,32.0,0,,,,,,20.5,57,,,,,31.5,22,,,,
,2021-10-23,15.0,29.1,0,,,,,,22.3,47,,,,,28.3,30,,,,
,2021-10-24,8.6,23.1,0,,,,,,14.2,53,,,,,21.9,23,,,,
,2021-10-25,4.2,22.7,0,,,,,,13.0,45,,,,,21.7,22,,,,
,2021-10-26,0.4,,0,,,,,,16.9,40,,,,,25.8,18,,,,
