"Daily Weather Observations for Jervis Bay Airfield, New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2187.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Jervis Bay NSW (Jervis Bay Airfield AWS) {station 068264}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,14.4,21.9,0,,,SE,43,13:58,18.7,55,,WNW,28,1013.9,16.6,65,8,ESE,24,1015.5
,2020-10-2,7.0,23.3,0,,,NNE,35,16:50,19.1,50,,NE,9,1022.9,20.9,37,,NNE,26,1021.2
,2020-10-3,13.2,24.5,0,,,NE,41,19:02,21.4,49,,NE,17,1025.0,20.8,71,,NNE,24,1020.4
,2020-10-4,15.1,23.0,0,,,NE,59,14:46,18.3,88,,NE,17,1019.7,21.3,75,,NNE,28,1016.0
,2020-10-5,15.3,26.5,0.2,,,SSW,56,18:55,19.8,75,,N,17,1015.4,25.8,50,,NE,15,1013.0
,2020-10-6,13.1,16.8,1.0,,,SSW,35,01:26,13.3,98,7,SW,17,1022.8,15.9,88,8,SSW,28,1020.9
,2020-10-7,13.1,18.4,3.2,,,NNE,26,22:48,15.2,98,,SSW,13,1020.7,16.4,98,7,SW,7,1018.8
,2020-10-8,15.1,24.5,3.2,,,NW,52,14:41,18.1,98,4,NNE,22,1010.1,23.9,47,,NNW,24,1007.0
,2020-10-9,10.9,22.3,0.4,,,WNW,52,09:04,16.4,60,,WNW,24,1012.3,21.5,43,6,WNW,31,1010.9
,2020-10-10,12.1,24.5,0,,,WNW,44,16:23,17.3,50,,WNW,20,1018.0,23.9,28,1,WNW,22,1015.1
,2020-10-11,9.9,20.8,0,,,ESE,35,17:24,19.8,46,,NNW,2,1020.6,19.5,81,5,SSE,20,1019.8
,2020-10-12,13.8,21.9,1.2,,,ENE,39,13:59,16.3,96,8,SW,9,1024.8,20.4,75,,ENE,26,1020.6
,2020-10-13,14.3,27.9,0.2,,,S,46,14:36,21.8,53,,NNW,9,1020.8,26.5,29,,SSE,17,1020.4
,2020-10-14,13.8,18.9,0.6,,,SSW,28,03:14,14.6,98,8,SSW,11,1028.1,17.7,80,8,SE,17,1025.2
,2020-10-15,13.3,22.4,1.0,,,NE,44,11:12,18.7,76,,NNE,13,1019.1,19.8,82,3,NNE,30,1013.4
,2020-10-16,14.1,17.5,0.8,,,S,46,04:52,14.2,98,8,S,20,1020.1,16.5,73,8,SSW,20,1020.0
,2020-10-17,13.2,22.2,0.4,,,NNE,46,10:44,16.5,94,8,NNE,22,1013.1,19.8,90,8,NE,30,1008.2
,2020-10-18,14.8,19.2,1.2,,,SE,41,10:58,18.0,90,5,SSE,13,1010.5,16.8,77,8,SE,22,1011.3
,2020-10-19,13.5,18.5,0,,,SSE,33,23:23,16.3,67,2,SSE,20,1017.5,17.0,63,7,SSE,20,1017.0
,2020-10-20,14.0,20.2,0,,,NE,35,16:30,15.4,85,8,WSW,13,1019.8,19.5,66,,NE,24,1017.3
,2020-10-21,11.3,21.7,0,,,NE,54,13:22,18.5,77,,NNE,15,1016.5,19.4,76,7,NE,35,1013.0
,2020-10-22,14.7,21.4,0,,,NNE,35,23:02,17.1,91,7,SSW,17,1015.7,19.7,79,3,S,15,1013.7
,2020-10-23,12.9,23.3,0,,,NNE,54,22:48,18.9,93,,NNE,17,1013.3,22.0,78,,NNE,30,1009.0
,2020-10-24,17.5,23.0,1.4,,,SSW,59,20:28,19.7,98,,NNE,17,1003.5,19.6,98,8,NE,15,1001.5
,2020-10-25,11.8,15.0,13.6,,,SE,59,22:39,13.0,74,8,SSW,35,1014.3,11.6,98,8,SSW,30,1015.3
,2020-10-26,10.7,17.6,36.0,,,SSE,61,00:00,14.8,71,8,SSE,31,1020.6,16.1,63,8,SSE,35,1019.8
,2020-10-27,12.5,17.8,0.6,,,SSE,46,23:41,13.2,97,8,SW,24,1021.7,16.8,77,8,SSW,24,1019.3
,2020-10-28,13.2,18.7,24.4,,,S,33,12:55,14.0,98,8,SW,20,1020.0,17.8,79,5,SE,20,1016.7
,2020-10-29,14.0,18.6,0.4,,,SSW,30,09:38,15.7,89,8,SW,17,1014.0,17.7,86,8,S,13,1010.4
,2020-10-30,12.6,20.4,0,,,SSW,35,11:29,17.3,85,,SSW,19,1011.0,19.5,72,2,SSE,20,1009.9
,2020-10-31,15.4,18.3,3.8,,,ESE,56,07:39,17.6,98,8,ESE,33,1008.3,16.9,90,8,SW,15,1009.2
