"Daily Weather Observations for Jervis Bay Airfield, New South Wales for December 2020"
"Prepared at 13:01 UTC on Sunday 10 October 2021   IDCJDW2187.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Jervis Bay NSW (Jervis Bay Airfield AWS) {station 068264}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,17.2,29.4,0,,,NNE,54,09:39,21.9,74,,NNE,30,1010.8,23.5,77,,NNE,37,1005.5
,2020-12-2,17.9,20.5,0,,,SSW,50,23:20,18.8,74,8,SSE,13,1019.1,18.6,68,8,SE,22,1020.5
,2020-12-3,14.8,22.4,0.2,,,NNE,48,14:50,18.2,88,8,ENE,11,1022.4,21.3,75,5,NNE,33,1018.3
,2020-12-4,15.8,28.9,0,,,S,43,17:20,21.3,77,,SSW,9,1014.4,24.7,71,,NE,24,1009.8
,2020-12-5,13.5,25.2,0,,,WNW,59,20:35,19.6,74,8,NNE,15,1011.7,20.2,90,8,NNE,31,1003.8
,2020-12-6,19.3,26.1,0,,,WNW,65,05:53,21.5,46,,WNW,26,1001.0,24.8,30,,WNW,33,1000.4
,2020-12-7,13.1,26.8,0,,,WNW,63,10:14,22.2,37,,WNW,22,1003.6,26.2,24,,WNW,33,1001.8
,2020-12-8,12.6,20.5,0,,,S,46,12:41,17.5,49,,SW,22,1012.6,19.5,46,,SSE,30,1013.5
,2020-12-9,14.3,23.5,0,,,ENE,35,13:49,18.8,64,,NNE,13,1019.3,22.2,57,,ENE,24,1016.4
,2020-12-10,14.2,21.7,0,,,S,59,09:41,20.3,88,7,SSW,30,1018.4,19.3,74,8,S,26,1021.4
,2020-12-11,14.0,20.8,0,,,SSE,43,23:22,17.5,50,7,S,20,1029.9,19.5,48,7,SE,26,1028.8
,2020-12-12,15.9,22.2,0,,,ESE,37,09:23,19.4,61,7,SE,24,1031.2,16.7,90,8,SSE,11,1029.4
,2020-12-13,15.2,23.1,14.2,,,ENE,31,14:18,16.5,98,8,WSW,9,1026.7,22.4,68,1,ENE,20,1023.9
,2020-12-14,16.3,24.4,2.2,,,NNE,35,16:03,19.6,98,8,N,9,1021.5,21.9,79,8,NNE,20,1019.6
,2020-12-15,18.5,25.0,0.2,,,NE,39,14:07,20.2,98,8,NNE,13,1017.6,24.7,80,8,NE,28,1014.4
,2020-12-16,20.1,24.4,41.0,,,NE,44,12:43,21.7,99,8,ENE,20,1012.5,23.2,98,8,NNE,26,1008.9
,2020-12-17,20.1,29.7,21.6,,,SSW,50,02:34,21.7,99,8,NNE,13,1005.9,23.5,98,4,NNE,20,1003.7
,2020-12-18,18.9,30.3,1.2,,,SE,46,12:43,29.7,55,5,WNW,20,1004.8,21.6,98,8,SSE,26,1007.3
,2020-12-19,16.8,19.2,0.2,,,S,37,04:29,18.2,70,8,S,20,1017.7,17.5,83,8,SE,15,1017.3
,2020-12-20,16.0,24.2,0.4,,,ESE,30,14:09,18.3,95,8,SW,17,1014.1,22.5,76,1,ESE,20,1011.2
,2020-12-21,17.4,23.2,0,,,NE,37,21:21,19.8,94,8,SSW,15,1012.4,22.1,86,7,NE,17,1009.2
,2020-12-22,16.2,24.8,11.0,,,WNW,52,18:08,18.7,98,8,SW,9,1001.0,23.3,52,,NW,19,1000.6
,2020-12-23,14.6,22.8,0,,,SSW,46,10:12,19.6,64,8,SW,19,1013.2,21.8,59,,SSE,28,1015.3
,2020-12-24,14.9,24.6,0,,,SSE,43,18:42,20.8,65,,N,11,1015.9,23.3,73,2,E,20,1013.4
,2020-12-25,15.7,19.9,0.6,,,SSE,39,23:48,17.7,69,8,S,24,1020.2,18.9,62,8,S,20,1020.5
,2020-12-26,15.4,23.7,0,,,NNE,50,17:29,18.5,80,8,N,11,1020.2,22.1,72,8,NNE,28,1016.3
,2020-12-27,15.9,25.1,0,,,NE,46,18:12,22.6,75,,NE,11,1012.5,24.4,78,,ENE,28,1008.3
,2020-12-28,19.8,20.1,0,,,SSW,54,05:00,20.1,90,8,S,24,1008.2,17.6,74,8,SSE,24,1010.3
,2020-12-29,14.4,18.7,5.0,,,SSW,39,04:42,14.7,98,7,SW,17,1015.6,17.3,97,8,SSW,20,1015.6
,2020-12-30,14.3,21.1,2.6,,,E,24,12:29,18.4,94,8,S,11,1019.8,20.3,72,8,E,17,1019.3
,2020-12-31,17.6,22.2,0,,,ESE,26,15:29,19.1,89,8,SW,7,1020.8,21.8,64,8,ESE,15,1020.4
