"Daily Weather Observations for Jervis Bay Airfield, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2187.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Jervis Bay NSW (Jervis Bay Airfield AWS) {station 068264}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,6.7,20.1,0,,,NNW,30,06:53,13.3,59,,N,13,1021.4,17.6,54,,WNW,9,1019.6
,2021-06-2,7.7,19.6,0,,,ENE,17,12:46,13.9,68,2,N,6,1020.4,18.3,56,,NE,9,1017.4
,2021-06-3,10.4,14.9,0,,,WNW,31,10:27,12.9,89,8,W,9,1015.0,13.4,98,8,NNW,6,1011.3
,2021-06-4,11.6,19.1,5.6,,,SSW,52,21:34,13.4,81,7,WNW,13,1010.5,18.3,55,8,WSW,17,1009.9
,2021-06-5,5.6,14.9,3.4,,,SSW,33,00:57,10.6,75,,WNW,7,1022.0,14.6,57,,NNW,13,1019.2
,2021-06-6,6.2,19.1,0,,,NNW,22,21:08,12.0,60,,WNW,11,1023.6,17.7,51,,NE,11,1022.4
,2021-06-7,6.9,18.9,0,,,NNW,31,13:50,12.3,80,,NW,17,1021.9,17.7,63,,NNE,15,1017.6
,2021-06-8,7.7,18.3,0,,,N,52,18:30,13.0,59,8,N,20,1011.4,17.7,61,6,NE,24,1006.7
,2021-06-9,6.7,15.4,0,,,NW,28,15:46,10.5,74,8,NW,9,1003.6,13.9,60,8,ESE,9,1000.0
,2021-06-10,3.3,12.6,0,,,NNW,50,22:55,9.0,86,,WNW,9,1005.4,11.0,85,8,SE,7,1005.9
,2021-06-11,5.0,14.7,6.0,,,SW,41,15:14,10.2,98,8,WSW,11,1009.7,14.3,87,8,SW,24,1008.6
,2021-06-12,9.5,16.2,1.4,,,NW,56,07:50,13.1,50,,WNW,24,1013.1,14.4,56,8,W,20,1012.0
,2021-06-13,10.9,18.2,0,,,WNW,50,16:30,13.4,64,3,WNW,20,1015.3,17.5,54,8,WNW,17,1013.6
,2021-06-14,10.8,17.2,0,,,SSW,28,13:04,13.8,76,8,W,11,1016.2,16.4,70,,SSW,17,1014.8
,2021-06-15,10.7,16.6,0,,,SW,28,04:18,13.7,89,4,WNW,13,1017.6,15.5,82,8,SSW,13,1015.6
,2021-06-16,8.4,17.7,0.2,,,NNE,28,14:39,12.0,84,,NW,13,1016.3,16.7,70,7,NNE,19,1011.9
,2021-06-17,9.8,15.6,4.4,,,WNW,57,15:05,12.2,66,4,W,22,1007.3,14.7,53,,W,28,1005.3
,2021-06-18,9.2,14.9,0,,,SW,69,21:02,12.5,68,,W,20,1005.5,10.7,97,8,W,19,1004.7
,2021-06-19,10.4,14.7,13.8,,,SSW,81,03:13,14.0,74,8,SW,44,1012.8,14.6,76,8,SSW,50,1016.1
,2021-06-20,11.1,14.5,1.8,,,SSW,63,03:35,12.2,91,8,SW,24,1024.2,14.2,84,7,SSW,31,1023.6
,2021-06-21,10.1,13.5,12.4,,,SW,31,01:11,11.4,97,8,SW,17,1028.4,12.8,93,3,WSW,15,1026.7
,2021-06-22,8.1,15.9,1.2,,,NE,24,15:55,12.6,97,1,SSW,9,1031.3,15.4,81,8,NNE,4,1029.3
,2021-06-23,9.1,17.0,0.4,,,NNE,31,23:19,12.5,97,6,N,11,1025.9,16.0,76,3,NNE,19,1021.4
,2021-06-24,12.5,18.9,0,,,NNE,46,11:27,16.3,83,8,NNE,19,1013.4,17.4,87,8,NE,17,1009.1
,2021-06-25,7.0,18.0,4.0,,,WNW,37,12:27,13.8,78,,NNE,9,1013.8,16.7,54,5,WNW,9,1012.5
,2021-06-26,8.2,16.7,0,,,W,43,11:27,13.1,66,,W,20,1017.0,16.3,50,,W,19,1016.6
,2021-06-27,9.3,17.4,0,,,WNW,30,03:14,12.6,65,,WNW,11,1024.2,16.8,48,,SSW,11,1024.8
,2021-06-28,5.9,16.1,1.8,,,S,33,12:29,12.4,94,8,SW,9,1032.3,15.1,63,2,SSW,17,1031.3
,2021-06-29,5.6,14.9,0.4,,,SW,43,06:55,11.2,92,,W,11,1034.7,14.4,92,8,SSW,17,1032.3
,2021-06-30,8.8,17.6,12.8,,,NNE,22,18:35,11.3,98,8,WNW,9,1031.3,15.7,87,8,ENE,13,1027.6
