"Daily Weather Observations for Jervis Bay Airfield, New South Wales for August 2021"
"Prepared at 16:00 UTC on Saturday 16 October 2021   IDCJDW2187.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Jervis Bay NSW (Jervis Bay Airfield AWS) {station 068264}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,12.5,20.6,0,,,S,48,15:08,20.4,55,7,SW,13,1005.8,11.8,92,8,SSW,28,1009.4
,2021-08-2,3.4,16.4,3.6,,,NNE,33,17:27,11.9,91,,NE,4,1020.3,16.2,68,,NE,20,1016.8
,2021-08-3,11.7,16.9,0.6,,,WNW,57,10:57,15.0,76,,NW,19,1007.8,15.4,49,,WNW,31,1006.4
,2021-08-4,9.6,15.4,0,,,W,54,08:43,11.2,54,6,WNW,31,1009.7,14.8,47,2,W,28,1009.6
,2021-08-5,10.7,18.0,0,,,W,39,00:08,13.8,62,,WNW,20,1015.7,16.0,55,,SSE,17,1015.7
,2021-08-6,9.0,20.3,0,,,WNW,31,02:01,13.7,64,,WNW,17,1021.0,20.1,39,,NW,17,1018.7
,2021-08-7,7.2,17.3,0,,,WNW,33,08:14,12.6,62,1,WNW,20,1024.5,15.2,63,,SE,17,1021.7
,2021-08-8,8.7,15.6,0,,,S,48,04:05,12.5,92,8,SW,19,1032.6,14.5,56,5,S,19,1031.3
,2021-08-9,5.7,17.6,0,,,NNE,37,14:55,12.3,87,8, ,Calm,1030.6,16.6,64,,NNE,28,1025.6
,2021-08-10,8.2,21.6,0,,,NW,41,12:53,15.9,67,,NNW,17,1026.1,20.6,44,,WNW,19,1022.1
,2021-08-11,11.6,24.5,0,,,NW,65,20:55,17.9,59,,NNE,17,1021.5,24.0,32,1,NW,35,1016.1
,2021-08-12,12.0,19.1,0,,,WNW,52,04:59,14.2,54,,WNW,19,1023.4,18.5,27,,E,13,1023.5
,2021-08-13,5.8,18.0,0,,,W,22,09:21,10.9,70,,WNW,15,1026.7,16.7,60,,E,9,1023.6
,2021-08-14,5.7,18.0,0,,,ENE,26,15:31,14.2,64,,WSW,9,1028.7,17.1,64,,ENE,17,1025.6
,2021-08-15,3.9,17.6,0,,,W,44,19:46,12.3,66,,WNW,13,1024.7,16.3,43,,SSE,15,1020.6
,2021-08-16,8.5,19.2,0,,,WNW,67,15:51,15.3,45,,W,19,1019.1,17.3,41,,WNW,35,1015.7
,2021-08-17,9.4,16.8,0,,,W,33,00:25,12.7,63,,WNW,17,1021.6,15.4,44,,SE,22,1019.9
,2021-08-18,6.2,16.6,0.6,,,NE,35,15:29,12.1,81,,WNW,9,1025.7,15.6,54,,NE,24,1021.7
,2021-08-19,8.8,16.4,0,,,NNW,28,03:53,13.3,68,,SW,11,1023.5,15.4,68,,SSE,15,1020.8
,2021-08-20,6.9,21.8,0,,,NW,35,15:25,14.6,71,,WNW,9,1020.4,21.2,33,,WNW,24,1015.7
,2021-08-21,11.7,23.2,0,,,W,41,14:31,14.7,65,8,NNW,6,1018.6,22.5,33,,WNW,24,1014.3
,2021-08-22,8.2,21.6,0,,,NE,43,16:43,19.0,51,,NW,15,1019.6,20.2,64,,NNE,20,1014.6
,2021-08-23,12.4,23.4,0,,,SSE,57,20:56,20.4,49,1,NNW,9,1011.0,17.0,92,8,NNE,17,1007.7
,2021-08-24,8.4,12.2,53.0,,,SW,107,20:19,9.1,97,8,SW,35,1008.5,11.7,98,7,SSW,56,1002.6
,2021-08-25,9.0,13.9,61.0,,,SSW,94,00:25,10.2,87,7,SW,43,1010.5,13.6,70,8,SSW,37,1010.7
,2021-08-26,7.5,16.2,1.0,,,SW,44,10:14,12.5,64,8,W,15,1017.2,14.7,69,8,SSW,24,1015.8
,2021-08-27,11.4,14.7,0,,,SSW,37,12:39,12.7,78,8,WSW,15,1016.2,13.4,84,8,SW,17,1013.8
,2021-08-28,9.0,15.8,12.4,,,SW,44,07:00,12.5,86,8,WSW,24,1016.5,14.5,77,,SSW,20,1015.6
,2021-08-29,7.2,14.8,0,,,NW,22,08:28,10.4,80,8,NW,11,1015.3,13.9,70,8,NNW,7,1011.0
,2021-08-30,7.8,17.4,0,,,ENE,28,14:37,13.0,67,,WNW,13,1017.9,15.9,58,8,ENE,19,1016.3
,2021-08-31,5.1,20.0,0,,,NNE,33,14:31,14.8,62,,NW,11,1021.7,18.3,58,,NNE,20,1018.5
