"Daily Weather Observations for Holsworthy (Defence), New South Wales for September 2020"
"Prepared at 13:00 UTC on Wednesday 13 October 2021   IDCJDW2188.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Holsworthy Defence AWS {station 068263}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,6.4,18.6,0,,,E,20,15:02,13.0,64,,WSW,4,,17.7,43,,N,9,
,2020-09-2,4.8,23.0,0,,,NW,30,16:42,13.2,69,,NW,6,,22.4,26,,NNW,17,
,2020-09-3,10.8,29.2,0,,,WNW,43,15:47,20.4,51,,NNW,9,,27.5,25,,NW,15,
,2020-09-4,12.7,16.6,0,,,WNW,22,09:41,16.4,65,, ,Calm,,15.7,89,,E,6,
,2020-09-5,8.9,21.3,4.6,,,WSW,28,13:10,15.1,57,,W,7,,18.9,43,,ESE,6,
,2020-09-6,7.7,19.1,0.4,,,NE,20,14:11,15.5,69,,ENE,6,,17.9,52,,NE,11,
,2020-09-7,8.2,22.7,0,,,NE,28,16:05,17.0,65,,NNW,6,,21.3,45,,NE,9,
,2020-09-8,6.7,25.4,0,,,NNE,19,14:29,15.9,68,,N,7,,24.3,37,,N,9,
,2020-09-9,12.7,13.1,1.4,,,SSE,48,06:14,13.0,91,,S,11,,12.6,86,,SSW,6,
,2020-09-10,9.1,16.0,4.6,,,SE,31,13:24,12.7,79,,SSE,15,,15.4,53,,SSE,15,
,2020-09-11,7.2,18.5,1.6,,,E,22,16:44,15.0,70,,SSE,7,,17.9,58,,NE,7,
,2020-09-12,6.7,23.3,0.2,,,N,20,10:39,14.6,78,,N,7,,22.5,38,,N,6,
,2020-09-13,7.9,24.9,0.2,,,WSW,43,15:03,14.2,76,,NNW,7,,18.8,50,,SW,22,
,2020-09-14,7.9,21.4,0.2,,,E,26,13:20,18.7,54,,S,2,,18.4,66,,ESE,13,
,2020-09-15,11.2,24.0,0,,,N,22,12:18,16.7,79,,N,6,,23.8,46,,N,9,
,2020-09-16,9.3,27.9,0,,,NW,30,14:59,17.5,78,,NW,6,,27.3,25,,NW,15,
,2020-09-17,9.8,30.8,0,,,SSE,67,17:52,20.4,54,,NW,6,,30.0,27,,WNW,11,
,2020-09-18,10.9,16.9,0,,,SSW,15,04:02,15.6,77,,SSE,4,,16.3,78,,ESE,4,
,2020-09-19,13.3,21.6,1.0,,,E,31,15:01,16.1,95,,N,6,,20.5,69,,ENE,11,
,2020-09-20,14.6,21.2,4.8,,,NNE,28,12:46,14.7,95,,NNE,9,,19.3,72,,N,9,
,2020-09-21,11.3,28.9,6.6,,,N,30,21:07,19.3,80,,N,9,,26.8,51,,NNE,9,
,2020-09-22,15.7,25.7,4.4,,,W,41,09:25,19.5,35,,W,22,,25.3,21,,NW,17,
,2020-09-23,12.0,22.7,0,,,W,44,12:25,18.4,37,,W,11,,21.7,26,,WSW,22,
,2020-09-24,9.3,20.8,0,,,W,52,09:54,15.6,44,,WNW,22,,19.9,25,,W,15,
,2020-09-25,6.5,22.8,0,,,WNW,89,16:30,17.1,48,,N,13,,19.9,37,,NNW,20,
,2020-09-26,7.2,16.4,2.6,,,W,63,11:33,11.7,45,,W,24,,14.6,36,,WSW,31,
,2020-09-27,7.8,17.6,0,,,SE,35,15:54,14.2,46,,SW,11,,14.0,53,,SE,15,
,2020-09-28,4.6,20.9,0,,,ESE,22,16:44,14.9,52,,NNW,6,,20.3,25,,NW,7,
,2020-09-29,7.4,20.6,0,,,ENE,22,14:52,16.1,55,,NNE,6,,18.1,49,,ENE,13,
,2020-09-30,7.8,19.8,0,,,NNW,30,17:34,16.4,61,,N,7,,18.1,55,,N,11,
