"Daily Weather Observations for Holsworthy (Defence), New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2188.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Holsworthy Defence AWS {station 068263}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,18.7,29.2,0,,,SW,41,21:24,20.8,83,,SSE,6,,28.0,54,,NNE,9,
,2021-02-2,16.0,23.4,42.0,,,SSE,39,15:25,17.4,82,,SSW,11,,21.8,60,,SE,15,
,2021-02-3,14.6,24.1,0.4,,,ESE,28,15:55,19.4,57,,SSW,7,,23.8,51,,ENE,9,
,2021-02-4,14.6,29.4,0,,,NE,30,13:03,21.7,73,,NNW,4,,28.8,50,,ENE,11,
,2021-02-5,18.6,29.0,0,,,NE,41,20:15,23.0,74,,NNE,13,,28.2,58,,NE,17,
,2021-02-6,20.0,25.0,0,,,NNE,26,16:54,21.1,89,,N,4,,23.4,93,,NNE,7,
,2021-02-7,16.0,27.2,3.2,,,SE,39,15:51,21.8,71,,WSW,6,,25.1,50,,SE,13,
,2021-02-8,17.9,23.1,0,,,SE,31,16:16,19.8,73,,S,9,,21.7,65,,S,13,
,2021-02-9,17.1,22.9,0,,,SSE,28,17:07,19.8,66,,SE,6,,21.8,60,,SE,9,
,2021-02-10,13.2,23.7,0,,,ESE,24,15:22,19.5,74,,S,9,,22.5,57,,ESE,11,
,2021-02-11,15.1,29.3,0,,,NNE,28,16:23,20.9,67,,NW,4,,28.4,43,,NE,7,
,2021-02-12,16.9,32.1,0,,,SW,41,18:19,20.4,66,,N,6,,31.2,40,,N,13,
,2021-02-13,18.8,19.7,27.2,,,SSE,48,10:29,18.9,95,,SSE,17,,19.0,90,,SSE,11,
,2021-02-14,14.2,23.1,5.0,,,SSE,39,18:06,19.6,75,,S,9,,21.9,58,,SE,20,
,2021-02-15,16.5,22.9,0.2,,,SSE,52,16:10,19.1,62,,S,11,,21.2,60,,S,11,
,2021-02-16,17.2,24.0,3.8,,,SE,35,10:29,20.4,92,,SSE,6,,22.7,74,,SE,13,
,2021-02-17,16.2,22.5,6.6,,,SE,35,14:29,18.6,87,,SSE,6,,20.6,76,,SSE,11,
,2021-02-18,15.9,24.3,1.6,,,E,26,13:39,20.7,73,,SSE,6,,23.0,65,,ENE,11,
,2021-02-19,17.5,27.3,10.2,,,SE,26,14:13,21.4,90,,ENE,7,,25.5,63,,ESE,13,
,2021-02-20,17.0,28.9,0,,,E,24,16:52,21.0,87,, ,Calm,,28.0,61,,NE,11,
,2021-02-21,18.1,28.4,0,,,SE,30,14:35,23.1,77,,S,4,,27.3,59,,SE,13,
,2021-02-22,17.0,28.3,0.2,,,SSE,44,15:15,22.7,81,,SW,4,,25.2,66,,SSE,19,
,2021-02-23,17.8,19.3,0,,,SSE,39,11:34,18.5,69,,S,9,,18.7,57,,SSE,15,
,2021-02-24,14.3,22.0,1.6,,,SE,22,14:14,18.3,82,,SSW,7,,20.4,75,,SE,11,
,2021-02-25,16.1,23.8,0.2,,,E,24,14:00,18.2,93,,NW,6,,19.4,95,,ESE,9,
,2021-02-26,15.3,30.0,18.2,,,ESE,35,16:03,20.1,81,,SW,6,,25.2,59,,SE,17,
,2021-02-27,17.7,22.5,0,,,NNE,17,15:37,17.9,93,, ,Calm,,21.2,84,,N,4,
,2021-02-28,17.8,28.2,0,,,SE,26,16:26,21.5,77,,SSE,11,,27.2,56,,ESE,9,
