"Daily Weather Observations for Kurnell [Wind Only], New South Wales for September 2020"
"Prepared at 13:00 UTC on Wednesday 13 October 2021   IDCJDW2191.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Only wind observations are available from this automatic weather station."
"Only wind observations are available from this automatic weather station."
"Observations were drawn from Kurnell AWS {station 066043}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,,,,,,,,,,,,NNW,7,,,,,ENE,20,
,2020-09-2,,,,,,N,35,13:56,,,,NNW,15,,,,,N,19,
,2020-09-3,,,,,,,,,,,,N,24,,,,,NW,33,
,2020-09-4,,,,,,,,,,,,,,,,,,NE,20,
,2020-09-5,,,,,,WNW,41,09:49,,,,WNW,31,,,,,ESE,15,
,2020-09-6,,,,,,ENE,30,20:59,,,,NW,9,,,,,ENE,20,
,2020-09-7,,,,,,NE,41,15:00,,,,NW,11,,,,,NE,31,
,2020-09-8,,,,,,NE,43,14:37,,,,NW,13,,,,,NE,35,
,2020-09-9,,,,,,SW,65,03:35,,,,SSE,30,,,,,S,24,
,2020-09-10,,,,,,SSE,43,09:39,,,,SSE,24,,,,,SSE,22,
,2020-09-11,,,,,,ENE,35,16:08,,,,ESE,19,,,,,ENE,28,
,2020-09-12,,,,,,NE,46,15:34,,,,NW,15,,,,,NE,37,
,2020-09-13,,,,,,WSW,48,15:34,,,,NW,13,,,,,WNW,20,
,2020-09-14,,,,,,S,35,10:30,,,,S,17,,,,,ESE,19,
,2020-09-15,,,,,,NE,48,15:04,,,,NE,17,,,,,NE,39,
,2020-09-16,,,,,,NE,46,13:33,,,,WNW,11,,,,,NE,35,
,2020-09-17,,,,,,SSW,80,15:45,,,,NNW,19,,,,,ESE,11,
,2020-09-18,,,,,,S,35,00:06,,,,SSW,19,,,,,S,13,
,2020-09-19,,,,,,NE,52,22:45,,,,WNW,2,,,,,ENE,24,
,2020-09-20,,,,,,NE,52,12:08,,,,NNE,22,,,,,NE,33,
,2020-09-21,,,,,,NE,39,16:11,,,, ,Calm,,,,,NE,30,
,2020-09-22,,,,,,W,56,08:25,,,,W,35,,,,,NW,31,
,2020-09-23,,,,,,WNW,48,14:31,,,,WSW,9,,,,,WSW,28,
,2020-09-24,,,,,,W,54,10:14,,,,WNW,30,,,,,WNW,20,
,2020-09-25,,,,,,W,104,16:51,,,,N,37,,,,,NNW,46,
,2020-09-26,,,,,,NW,83,01:56,,,,WNW,61,,,,,W,54,
,2020-09-27,,,,,,W,48,05:23,,,,W,26,,,,,S,28,
,2020-09-28,,,,,,ENE,33,14:50,,,,NW,11,,,,,ENE,28,
,2020-09-29,,,,,,ENE,30,14:35,,,,SSE,11,,,,,ENE,20,
,2020-09-30,,,,,,NNE,35,09:03,,,,NNE,24,,,,,NNE,26,
