"Daily Weather Observations for North Head [Wind Only], New South Wales for December 2020"
"Prepared at 13:01 UTC on Sunday 10 October 2021   IDCJDW2192.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Only wind observations are available from this automatic weather station."
"Only wind observations are available from this automatic weather station."
"Observations were drawn from Manly (North Head) {station 066197}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,,,,,,W,56,17:47,,,,NNE,19,,,,,NE,24,
,2020-12-2,,,,,,S,56,03:38,,,,S,24,,,,,SE,17,
,2020-12-3,,,,,,ENE,30,06:57,,,,ENE,15,,,,,NE,13,
,2020-12-4,,,,,,SSW,31,21:26,,,,SW,6,,,,,E,11,
,2020-12-5,,,,,,NNW,41,20:27,,,,E,11,,,,,NE,9,
,2020-12-6,,,,,,WNW,50,11:36,,,,NW,15,,,,,WNW,20,
,2020-12-7,,,,,,WNW,46,12:55,,,,NNW,15,,,,,W,22,
,2020-12-8,,,,,,WSW,54,00:06,,,,WSW,22,,,,,SSE,26,
,2020-12-9,,,,,,NE,35,18:27,,,,W,7,,,,,ENE,22,
,2020-12-10,,,,,,S,63,14:09,,,,NW,2,,,,,S,37,
,2020-12-11,,,,,,SE,56,00:50,,,,SSE,24,,,,,SSE,22,
,2020-12-12,,,,,,ESE,56,02:00,,,,ESE,33,,,,,SSE,28,
,2020-12-13,,,,,,E,37,20:34,,,,SE,11,,,,,E,19,
,2020-12-14,,,,,,ENE,39,09:25,,,,ENE,13,,,,,E,7,
,2020-12-15,,,,,,ENE,39,18:04,,,,E,13,,,,,E,15,
,2020-12-16,,,,,,ENE,44,01:40,,,,NE,15,,,,,NE,22,
,2020-12-17,,,,,,NNE,35,16:11,,,,NNE,17,,,,,NNE,20,
,2020-12-18,,,,,,W,44,10:11,,,,NNE,9,,,,,N,9,
,2020-12-19,,,,,,SSE,46,23:58,,,,S,20,,,,,SSE,13,
,2020-12-20,,,,,,S,31,03:00,,,,SSE,7,,,,,SE,9,
,2020-12-21,,,,,,ENE,28,13:38,,,,SE,7,,,,,NE,17,
,2020-12-22,,,,,,W,46,18:46,,,,WSW,4,,,,,WNW,22,
,2020-12-23,,,,,,SSE,50,12:14,,,,WSW,20,,,,,SSE,33,
,2020-12-24,,,,,,NNE,37,15:57,,,,NNE,9,,,,,NE,20,
,2020-12-25,,,,,,S,52,03:09,,,,S,26,,,,,SSE,24,
,2020-12-26,,,,,,ENE,48,18:15,,,,NE,9,,,,,ENE,22,
,2020-12-27,,,,,,NE,33,16:02,,,,W,7,,,,,ENE,17,
,2020-12-28,,,,,,SSE,54,13:22,,,,SW,11,,,,,SSE,30,
,2020-12-29,,,,,,ESE,46,22:24,,,,WSW,7,,,,,S,17,
,2020-12-30,,,,,,SSE,52,23:09,,,,SE,26,,,,,ESE,15,
,2020-12-31,,,,,,ESE,35,16:17,,,,SSE,19,,,,,SE,15,
