"Daily Weather Observations for Grafton Research Station, New South Wales for September 2020"
"Prepared at 13:00 UTC on Wednesday 13 October 2021   IDCJDW2194.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Grafton Research Stn {station 058077}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,12.5,22.1,0,,,ESE,35,15:07,18.4,68,,S,17,,20.3,62,,ESE,20,
,2020-09-2,10.8,25.7,0,,,NNE,30,11:04,19.0,73,,NE,2,,24.9,46,,NE,7,
,2020-09-3,11.3,28.1,0,,,N,30,12:52,15.9,90,,SW,7,,25.5,50,,ENE,17,
,2020-09-4,11.1,28.4,0.2,,,NNE,30,19:02,17.2,94,, ,Calm,,28.1,34,,N,11,
,2020-09-5,12.0,29.1,0,,,S,28,23:59,20.7,68,,ESE,4,,26.8,44,,NNE,7,
,2020-09-6,16.3,21.9,0,,,ESE,35,09:44,19.4,70,,SSE,13,,19.9,60,,ESE,20,
,2020-09-7,12.1,21.9,0,,,SSE,22,13:16,19.5,57,,SE,11,,20.8,55,,E,11,
,2020-09-8,10.5,24.4,0,,,SE,22,10:57,16.7,75,,WNW,7,,23.3,43,,NE,7,
,2020-09-9,9.0,24.6,0,,,E,24,15:53,17.1,75,,W,7,,24.3,43,,E,9,
,2020-09-10,,,1.6,,,S,33,09:15,14.7,91,,S,19,,14.6,91,,S,17,
,2020-09-11,12.4,19.6,6.2,,,SSE,46,14:10,15.6,81,,SE,13,,19.2,66,,SE,26,
,2020-09-12,10.6,22.8,3.2,,,E,30,14:35,17.5,80,,SW,9,,19.8,59,,E,13,
,2020-09-13,8.3,24.4,0,,,NNE,30,16:57,17.0,78,,WSW,7,,23.6,50,,NE,4,
,2020-09-14,9.9,25.9,0,,,ESE,30,14:59,18.4,78,,WNW,6,,24.5,46,,ESE,20,
,2020-09-15,11.7,25.0,0,,,SE,33,14:01,19.4,70,,SW,9,,23.1,53,,ESE,20,
,2020-09-16,13.1,25.0,1.4,,,ENE,28,15:05,18.4,87,,SW,7,,23.6,61,,ENE,13,
,2020-09-17,10.9,28.5,0,,,E,28,15:22,19.9,77,,W,6,,27.3,45,,ENE,15,
,2020-09-18,11.4,25.7,0,,,SE,31,12:43,20.2,78,,WSW,9,,23.9,58,,ESE,19,
,2020-09-19,12.8,24.9,1.8,,,ENE,31,15:08,20.0,82,,SE,6,,22.7,57,,ENE,17,
,2020-09-20,,25.9,1.0,,,NNE,26,12:44,18.9,88,, ,Calm,,25.0,58,,NNE,13,
,2020-09-21,,32.2,0,,,N,33,13:11,19.0,99,,SSW,7,,31.5,42,,NNE,17,
,2020-09-22,19.0,32.1,1.0,,,WNW,31,13:06,26.9,65,,NNW,7,,30.4,42,,WNW,13,
,2020-09-23,12.6,30.2,0,,,W,43,14:11,23.1,39,,WSW,11,,29.7,16,,W,20,
,2020-09-24,11.4,27.4,0,,,W,33,14:20,21.1,37,,WSW,11,,27.1,19,,W,15,
,2020-09-25,7.1,30.8,0,,,NW,52,16:32,17.2,55,,SE,6,,30.2,13,,NW,24,
,2020-09-26,12.3,23.2,0,,,WSW,67,01:08,17.1,27,,W,20,,22.6,17,,SW,19,
,2020-09-27,9.5,22.0,0,,,SE,39,14:42,16.2,33,,SW,9,,19.7,37,,E,22,
,2020-09-28,9.8,21.7,0,,,ESE,35,13:51,17.4,61,,SE,15,,19.6,47,,E,17,
,2020-09-29,11.4,22.9,0,,,ESE,31,14:47,20.1,54,,SSE,7,,20.8,48,,E,19,
,2020-09-30,,22.9,0,,,NNE,24,12:28,18.0,61,,SSW,6,,21.6,46,,NNE,11,
