"Daily Weather Observations for Grafton Research Station, New South Wales for January 2021"
"Prepared at 13:01 UTC on Saturday  9 October 2021   IDCJDW2194.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Grafton Research Stn {station 058077}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,19.3,27.8,0,,,SE,44,13:49,23.6,79,,SSE,17,,24.2,76,,SE,30,
,2021-01-2,20.3,28.0,9.4,,,ENE,30,13:32,23.5,84,,SE,9,,25.5,72,,NE,11,
,2021-01-3,19.8,27.4,10.4,,,ENE,26,13:24,23.3,83,, ,Calm,,27.0,71,,ENE,11,
,2021-01-4,21.3,26.8,16.8,,,NE,20,17:45,23.6,93,,NW,2,,25.4,85,,W,6,
,2021-01-5,21.2,34.1,0.4,,,SE,44,15:04,25.9,83,, ,Calm,,33.4,52,,NE,9,
,2021-01-6,21.5,31.3,1.4,,,S,52,13:12,25.9,79,,SW,9,,21.9,93,,SSE,20,
,2021-01-7,19.0,22.1,30.0,,,SSE,41,13:25,20.4,96,,SW,17,,20.8,94,,SSE,20,
,2021-01-8,18.5,21.6,5.6,,,SE,43,10:23,19.4,86,,SSE,19,,21.0,85,,SE,24,
,2021-01-9,17.1,25.1,2.0,,,ESE,41,13:51,21.0,74,,S,11,,23.8,66,,SE,26,
,2021-01-10,17.2,26.7,1.6,,,SSE,39,12:44,22.1,80,,S,17,,25.8,60,,ESE,20,
,2021-01-11,16.9,27.3,0.2,,,SE,31,13:20,22.1,83,,WSW,11,,26.2,57,,E,17,
,2021-01-12,17.4,28.5,0.2,,,E,26,14:02,22.8,81,,WSW,9,,28.1,52,,ENE,15,
,2021-01-13,17.5,28.7,0,,,SE,28,13:16,22.9,77,,SSW,6,,28.6,54,,ENE,9,
,2021-01-14,18.1,30.4,0,,,ENE,30,15:23,23.4,82,,WSW,7,,29.9,51,,E,15,
,2021-01-15,19.1,34.1,0,,,SW,78,19:33,23.8,79,,SE,6,,33.1,48,,NNE,11,
,2021-01-16,19.0,28.1,17.8,,,E,30,15:15,24.8,77,,SE,17,,27.0,49,,E,15,
,2021-01-17,16.3,29.9,0.2,,,E,31,14:26,22.4,73,,SSW,6,,29.4,57,,E,19,
,2021-01-18,20.1,27.9,0,,,N,30,20:20,23.9,76,,WNW,7,,26.4,76,,NNE,9,
,2021-01-19,18.6,30.5,4.4,,,SE,48,18:17,24.3,70,,NNW,7,,29.2,45,,ESE,24,
,2021-01-20,20.1,24.7,0.4,,,SE,41,10:10,21.1,85,,SE,19,,23.3,64,,SE,24,
,2021-01-21,17.8,25.8,0,,,E,26,16:58,22.4,76,,SSE,6,,25.4,58,,E,13,
,2021-01-22,18.3,29.0,0.2,,,ENE,28,16:04,23.2,70,,NNW,4,,28.1,54,,NE,9,
,2021-01-23,17.5,30.2,0,,,E,30,14:09,22.8,77,,WSW,6,,29.8,61,,ENE,15,
,2021-01-24,16.2,29.6,0,,,ENE,30,15:37,22.6,81,,SW,2,,28.8,60,,ENE,13,
,2021-01-25,19.4,30.5,0,,,ENE,31,15:27,24.2,78,,W,9,,29.4,57,,ENE,17,
,2021-01-26,19.5,31.8,0,,,ENE,33,15:33,24.8,69,,N,6,,31.3,53,,ENE,15,
,2021-01-27,20.4,32.4,0,,,E,33,14:51,26.7,73,, ,Calm,,31.3,59,,ENE,17,
,2021-01-28,22.1,29.2,0,,,ESE,39,14:47,24.8,88,,ESE,11,,27.7,62,,ESE,20,
,2021-01-29,20.4,29.5,0,,,E,31,14:47,24.5,80,,SSE,9,,28.7,61,,ESE,19,
,2021-01-30,19.8,29.4,0.8,,,ESE,28,14:42,24.0,82,,SE,6,,28.9,63,,ESE,13,
,2021-01-31,21.5,29.7,0,,,E,31,14:42,24.4,84,,ESE,4,,28.2,71,,ENE,17,
