"Daily Weather Observations for Grafton Research Station, New South Wales for July 2021"
"Prepared at 13:01 UTC on Sunday 17 October 2021   IDCJDW2194.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Grafton Research Stn {station 058077}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,11.4,19.4,6.0,,,NNE,20,17:43,15.1,100,,WSW,7,,17.3,92,,W,9,
,2021-07-2,,20.5,8.8,,,N,17,14:19,15.3,100,, ,Calm,,19.0,87,,NNE,2,
,2021-07-3,,16.5,1.6,,,ENE,17,07:54,15.1,100,,E,6,,16.2,97,,WSW,6,
,2021-07-4,11.5,20.0,0,,,SE,28,11:12,14.4,82,,SW,15,,18.9,53,,SE,9,
,2021-07-5,6.9,18.4,0.2,,,W,20,09:11,10.2,86,,W,11,,17.8,39,,WSW,7,
,2021-07-6,5.4,18.1,0,,,NW,17,05:51,8.4,83,,W,9,,17.7,47,,NW,7,
,2021-07-7,4.5,20.0,0,,,NW,20,23:08,8.9,86,,WNW,11,,18.9,34,,WSW,6,
,2021-07-8,6.4,20.0,0,,,WNW,20,08:27,11.2,78,,W,11,,17.9,61,,NNE,7,
,2021-07-9,11.1,19.1,5.2,,,SW,28,15:52,12.9,99,,SSW,6,,18.1,83,,W,7,
,2021-07-10,12.5,20.2,7.8,,,W,46,11:32,16.0,56,,WNW,15,,19.5,44,,WSW,26,
,2021-07-11,10.6,20.1,0,,,S,35,11:12,15.3,70,,WSW,15,,19.1,51,,SSE,19,
,2021-07-12,7.0,20.7,0,,,WNW,20,04:13,11.4,83,,WNW,9,,19.3,52,,NW,4,
,2021-07-13,5.8,21.6,0.2,,,NW,20,05:25,11.5,93,,WNW,7,,20.3,52,,NNE,6,
,2021-07-14,8.2,20.7,0,,,N,22,22:38,11.1,97,,W,4,,20.3,61,, ,Calm,
,2021-07-15,11.0,23.7,1.8,,,SW,44,23:49,15.4,93,,N,7,,23.6,65,,N,9,
,2021-07-16,,22.8,1.8,,,WNW,65,13:10,18.9,92,,NNW,6,,16.9,56,,WNW,26,
,2021-07-17,13.6,20.2,3.8,,,WNW,61,16:01,16.7,43,,W,20,,19.0,33,,W,35,
,2021-07-18,10.2,21.6,0.2,,,W,44,00:15,14.4,48,,W,22,,21.2,31,,NNW,6,
,2021-07-19,6.2,20.3,0,,,W,26,01:17,10.0,81,,W,7,,20.3,45,,NNE,7,
,2021-07-20,2.7,18.1,0,,,W,43,11:22,11.4,68,,WNW,15,,16.8,39,,WNW,13,
,2021-07-21,4.8,18.4,0,,,SW,44,12:25,12.9,53,,WSW,9,,17.6,40,,WSW,11,
,2021-07-22,3.8,19.2,0,,,WNW,19,04:01,9.9,70,,WNW,9,,18.3,48,,ENE,7,
,2021-07-23,7.6,16.6,0,,,WSW,28,14:47,9.9,93,,SW,9,,11.7,92,,WSW,15,
,2021-07-24,4.3,22.2,8.0,,,W,46,15:34,9.3,100,,SW,6,,21.0,36,,W,26,
,2021-07-25,5.8,20.6,0,,,SW,59,11:39,17.3,36,,W,26,,19.4,23,,WSW,31,
,2021-07-26,7.7,21.9,0,,,W,33,11:32,13.1,50,,WNW,11,,21.4,38,,NW,13,
,2021-07-27,4.8,22.1,0,,,NNE,17,14:33,11.6,82,,W,9,,21.2,44,,NNE,9,
,2021-07-28,3.2,24.4,0,,,NW,37,12:35,9.8,90,,S,7,,24.3,46,,N,13,
,2021-07-29,9.8,22.6,0,,,SW,31,13:50,17.9,72,,WSW,9,,21.6,32,,SW,17,
,2021-07-30,4.1,20.9,0,,,W,20,09:06,9.9,69,,W,13,,20.0,38,,NE,9,
,2021-07-31,4.2,23.8,0,,,ENE,20,12:57,10.3,88,,WSW,7,,23.2,49,,NE,6,
