"Daily Weather Observations for Borrona Downs, New South Wales for January 2021"
"Prepared at 13:01 UTC on Saturday  9 October 2021   IDCJDW2195.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Wanaaring (Borrona Downs AWS) {station 046136}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,23.9,36.3,0,,,,,,27.8,55,,,,,34.6,31,,,,
,2021-01-2,22.9,36.7,0.6,,,,,,26.8,63,,,,,35.0,35,,,,
,2021-01-3,21.2,35.9,0,,,,,,25.6,58,,,,,33.5,28,,,,
,2021-01-4,24.2,36.3,0,,,,,,28.5,37,,,,,35.0,21,,,,
,2021-01-5,23.2,34.6,0,,,,,,26.2,49,,,,,32.9,24,,,,
,2021-01-6,21.9,31.2,0,,,,,,22.5,54,,,,,30.0,26,,,,
,2021-01-7,21.1,34.7,0,,,,,,25.3,37,,,,,32.2,25,,,,
,2021-01-8,22.3,33.2,1.6,,,,,,25.0,54,,,,,31.7,26,,,,
,2021-01-9,22.8,34.2,0,,,,,,25.8,39,,,,,32.8,22,,,,
,2021-01-10,22.4,35.7,0,,,,,,26.9,35,,,,,33.6,19,,,,
,2021-01-11,23.7,37.3,0,,,,,,29.9,28,,,,,35.4,17,,,,
,2021-01-12,26.1,40.0,0,,,,,,30.9,28,,,,,38.9,14,,,,
,2021-01-13,24.3,41.3,0,,,,,,32.0,25,,,,,39.9,12,,,,
,2021-01-14,28.7,41.8,0,,,,,,33.9,19,,,,,39.2,13,,,,
,2021-01-15,24.5,33.2,0,,,,,,25.3,23,,,,,31.8,16,,,,
,2021-01-16,18.3,28.3,0,,,,,,18.9,29,,,,,26.2,13,,,,
,2021-01-17,18.6,31.1,0,,,,,,23.6,26,,,,,29.2,18,,,,
,2021-01-18,20.7,33.9,0,,,,,,25.6,26,,,,,32.0,15,,,,
,2021-01-19,21.9,35.5,0,,,,,,26.6,22,,,,,33.5,13,,,,
,2021-01-20,21.8,37.8,0,,,,,,27.2,14,,,,,36.0,8,,,,
,2021-01-21,23.1,40.2,0,,,,,,29.6,9,,,,,38.4,7,,,,
,2021-01-22,21.7,40.5,0,,,,,,28.9,23,,,,,39.3,6,,,,
,2021-01-23,25.7,41.2,0,,,,,,29.6,44,,,,,40.4,13,,,,
,2021-01-24,29.5,40.5,0,,,,,,33.3,24,,,,,38.8,13,,,,
,2021-01-25,28.6,40.9,0,,,,,,31.9,19,,,,,38.7,19,,,,
,2021-01-26,24.5,38.2,0.6,,,,,,24.5,89,,,,,33.8,44,,,,
,2021-01-27,23.8,40.0,2.6,,,,,,27.3,65,,,,,38.5,30,,,,
,2021-01-28,27.2,39.4,0,,,,,,29.8,45,,,,,37.6,26,,,,
,2021-01-29,23.8,33.6,0.8,,,,,,24.2,84,,,,,30.1,57,,,,
,2021-01-30,22.9,37.5,4.0,,,,,,27.1,70,,,,,35.1,35,,,,
,2021-01-31,26.7,40.0,0,,,,,,28.7,49,,,,,37.6,27,,,,
