"Daily Weather Observations for Borrona Downs, New South Wales for March 2021"
"Prepared at 16:01 UTC on Thursday  7 October 2021   IDCJDW2195.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Wanaaring (Borrona Downs AWS) {station 046136}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,23.4,38.8,0,,,,,,28.1,50,,,,,37.3,17,,,,
,2021-03-2,23.8,35.5,0,,,,,,25.9,26,,,,,34.0,17,,,,
,2021-03-3,21.2,31.0,0,,,,,,22.7,19,,,,,30.3,14,,,,
,2021-03-4,17.9,32.2,0,,,,,,21.3,21,,,,,30.2,10,,,,
,2021-03-5,18.7,33.5,0,,,,,,22.9,24,,,,,31.8,19,,,,
,2021-03-6,19.9,33.2,0,,,,,,23.2,25,,,,,30.8,15,,,,
,2021-03-7,18.1,35.5,0,,,,,,23.0,17,,,,,34.0,9,,,,
,2021-03-8,23.1,35.7,0,,,,,,28.3,11,,,,,35.1,10,,,,
,2021-03-9,25.9,36.0,0,,,,,,27.3,26,,,,,35.0,16,,,,
,2021-03-10,23.3,34.8,0,,,,,,26.7,31,,,,,33.3,32,,,,
,2021-03-11,21.2,35.4,5.6,,,,,,23.9,77,,,,,35.0,37,,,,
,2021-03-12,19.8,35.6,0,,,,,,22.9,81,,,,,34.1,30,,,,
,2021-03-13,22.9,39.1,0,,,,,,28.3,47,,,,,37.8,17,,,,
,2021-03-14,14.2,20.3,12.6,,,,,,15.4,91,,,,,19.1,57,,,,
,2021-03-15,12.4,25.6,0,,,,,,14.7,49,,,,,24.1,25,,,,
,2021-03-16,14.7,29.1,0,,,,,,18.6,37,,,,,27.6,26,,,,
,2021-03-17,17.6,25.7,0,,,,,,19.6,76,,,,,24.3,49,,,,
,2021-03-18,18.1,24.3,0.8,,,,,,19.3,82,,,,,22.6,70,,,,
,2021-03-19,19.3,30.3,0.4,,,,,,21.1,83,,,,,28.9,43,,,,
,2021-03-20,21.1,31.1,0,,,,,,21.7,66,,,,,29.5,41,,,,
,2021-03-21,21.6,28.1,0,,,,,,22.7,79,,,,,27.7,43,,,,
,2021-03-22,19.0,22.4,14.8,,,,,,20.9,100,,,,,22.0,97,,,,
,2021-03-23,19.7,26.0,95.4,,,,,,20.1,94,,,,,24.0,71,,,,
,2021-03-24,17.7,28.1,0.2,,,,,,19.3,83,,,,,27.3,41,,,,
,2021-03-25,15.8,26.8,0,,,,,,20.1,61,,,,,25.5,45,,,,
,2021-03-26,15.2,26.6,0,,,,,,19.5,55,,,,,25.7,33,,,,
,2021-03-27,14.6,26.9,0,,,,,,17.7,84,,,,,25.7,47,,,,
,2021-03-28,17.3,28.3,0,,,,,,19.1,79,,,,,27.8,39,,,,
,2021-03-29,16.6,26.5,0,,,,,,18.4,55,,,,,25.4,33,,,,
,2021-03-30,15.1,27.1,0,,,,,,18.4,58,,,,,26.1,26,,,,
,2021-03-31,13.2,28.3,0,,,,,,17.4,55,,,,,27.5,26,,,,
