"Daily Weather Observations for Murrurundi, New South Wales for October 2020"
"Prepared at 13:01 UTC on Tuesday 12 October 2021   IDCJDW2196.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations for Murrurundi are now taken at a site in Haydon Street, replacing those from the Post Office."
"Temperature, humidity, wind, cloud and rainfall observations are from Murrurundi (Haydon Street) {station 061431}"
"Pressure observations are from Murrurundi Gap AWS {station 061392}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,,22.6,1.6,,,,,,,,8, ,Calm,1017.9,,,,,,1015.9
,2020-10-2,,25.5,0,,,,,,17.4,56,0,E,9,1023.8,,,,,,1023.1
,2020-10-3,,28.3,0,,,,,,20.0,54,0, ,Calm,1026.7,,,,,,1022.6
,2020-10-4,,28.0,0,,,,,,21.2,49,1,W,9,1023.3,,,,,,1020.1
,2020-10-5,,27.8,0,,,,,,,,0,W,9,1020.9,,,,,,1018.3
,2020-10-6,,,0,,,,,,,,0, ,Calm,1019.8,,,,,,1017.7
,2020-10-7,,,0,,,,,,,,,,,1019.1,,,,,,1016.5
,2020-10-8,,27.8,0,,,,,,,,,,,1013.2,,,,,,1010.6
,2020-10-9,4.4,22.4,0,,,,,,14.9,60,0,E,9,1014.7,,,,,,1014.1
,2020-10-10,3.1,24.4,0,,,,,,15.0,53,0,NNE,9,1019.6,,,,,,1017.3
,2020-10-11,2.1,25.0,0,,,,,,15.1,57,0,NE,9,1021.4,,,,,,1018.9
,2020-10-12,5.4,26.4,0,,,,,,,,1, ,Calm,1022.2,,,,,,1018.6
,2020-10-13,9.0,27.1,0,,,,,,,,0,NE,4,1022.5,,,,,,1020.2
,2020-10-14,5.8,,0,,,,,,,,4,E,15,1024.4,,,,,,1021.6
,2020-10-15,6.0,,0,,,,,,,,1,NE,7,1021.1,,,,,,1016.7
,2020-10-16,10.0,,0,,,,,,22.5,38,5,W,9,1017.5,,,,,,1016.5
,2020-10-17,11.1,,0,,,,,,22.5,41,2,NW,37,1015.3,,,,,,1010.3
,2020-10-18,15.1,,0,,,,,,18.8,65,8,NNW,9,1012.4,,,,,,1010.8
,2020-10-19,13.7,,7.8,,,,,,,,8,SE,15,1013.3,,,,,,1013.9
,2020-10-20,5.5,25.1,0.2,,,,,,,,8,E,4,1016.9,,,,,,1014.5
,2020-10-21,6.8,26.8,0,,,,,,,,7, ,Calm,1016.0,,,,,,1012.6
,2020-10-22,13.6,25.8,4.7,,,,,,,,7,NE,4,1014.8,,,,,,1012.0
,2020-10-23,9.5,,0.2,,,,,,21.8,61,2, ,Calm,1013.9,,,,,,1010.3
,2020-10-24,18.0,21.8,23.4,,,,,,19.4,82,8,WNW,19,1007.5,,,,,,1003.5
,2020-10-25,14.5,16.8,59.0,,,,,,16.0,98,8,ENE,9,1008.9,,,,,,1009.2
,2020-10-26,11.2,17.2,45.2,,,,,,,,8,E,15,1012.0,,,,,,1012.7
,2020-10-27,10.1,20.6,0.2,,,,,,,,6,E,19,1017.5,,,,,,1014.3
,2020-10-28,10.1,20.7,4.2,,,,,,,,8,NE,9,1016.5,,,,,,1011.3
,2020-10-29,7.6,22.5,8.6,,,,,,,,8, ,Calm,1011.8,,,,,,1008.3
,2020-10-30,7.2,26.0,0,,,,,,15.0,82,4, ,Calm,1009.2,,,,,,1006.5
,2020-10-31,14.5,23.5,1.2,,,,,,19.8,42,2,NW,9,1006.3,,,,,,1007.4
