"Daily Weather Observations for Murrurundi, New South Wales for July 2021"
"Prepared at 13:01 UTC on Sunday 17 October 2021   IDCJDW2196.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations for Murrurundi are now taken at a site in Haydon Street, replacing those from the Post Office."
"Temperature, humidity, wind, cloud and rainfall observations are from Murrurundi (Haydon Street) {station 061431}"
"Pressure observations are from Murrurundi Gap AWS {station 061392}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,5.0,14.1,0,,,,,,9.0,95,7, ,Calm,1024.9,,,,,,1021.6
,2021-07-2,9.0,17.6,20.0,,,,,,13.1,92,7,NNW,4,1020.4,,,,,,1018.7
,2021-07-3,2.5,17.7,0.2,,,,,,9.6,99,1, ,Calm,1020.0,,,,,,1017.5
,2021-07-4,0.1,14.7,0.2,,,,,,5.1,100,0, ,Calm,1023.2,,,,,,1020.0
,2021-07-5,-3.0,14.0,0.2,,,,,,4.0,61,0, ,Calm,1021.8,,,,,,1019.4
,2021-07-6,-1.5,14.2,0,,,,,,1.4,91,3, ,Calm,1021.8,,,,,,1019.8
,2021-07-7,-4.0,16.4,0,,,,,,3.0,,0, ,Calm,1024.6,,,,,,1022.2
,2021-07-8,-1.0,16.5,0.2,,,,,,5.8,93,2, ,Calm,1023.4,,,,,,1020.1
,2021-07-9,6.1,13.4,11.4,,,,,,9.4,100,8, ,Calm,1014.0,,,,,,1011.7
,2021-07-10,6.2,14.4,12.0,,,,,,10.1,69,5,SW,19,1018.1,,,,,,1018.7
,2021-07-11,8.6,15.9,1.6,,,,,,10.8,82,4,ESE,9,1025.2,,,,,,1023.1
,2021-07-12,0.3,17.2,0.2,,,,,,5.4,97,1, ,Calm,1024.0,,,,,,1020.4
,2021-07-13,4.9,16.2,0.2,,,,,,11.8,76,3,W,9,1020.9,,,,,,1018.0
,2021-07-14,9.8,17.0,0,,,,,,14.4,52,7,NW,19,1016.9,,,,,,1012.7
,2021-07-15,12.1,17.4,14.4,,,,,,14.4,93,6, ,Calm,1008.8,,,,,,1005.3
,2021-07-16,11.0,15.8,2.2,,,,,,13.3,79,7,NW,19,1001.0,,,,,,999.5
,2021-07-17,7.9,12.2,1.6,,,,,,8.9,69,7,W,19,1002.0,,,,,,1003.2
,2021-07-18,7.4,14.8,0,,,,,,8.6,68,5,W,9,1015.3,,,,,,1014.7
,2021-07-19,1.1,10.3,0,,,,,,6.6,84,7,NW,30,1019.0,,,,,,1016.1
,2021-07-20,4.1,11.6,0.6,,,,,,8.4,75,4,W,26,1014.7,,,,,,1010.6
,2021-07-21,5.2,13.5,4.8,,,,,,7.2,97,6, ,Calm,1014.0,,,,,,1015.0
,2021-07-22,-3.0,15.5,0.2,,,,,,5.7,88,0, ,Calm,1019.0,,,,,,1014.4
,2021-07-23,3.2,15.9,2.2,,,,,,11.2,75,3,SW,19,1011.2,,,,,,1006.9
,2021-07-24,10.0,15.0,1.2,,,,,,10.3,91,7,NW,19,1006.0,,,,,,1006.0
,2021-07-25,6.4,12.5,2.4,,,,,,8.2,72,6,W,19,1009.4,,,,,,1012.0
,2021-07-26,4.7,15.2,0,,,,,,10.1,61,6,W,19,1020.7,,,,,,1019.3
,2021-07-27,2.3,18.2,0,,,,,,11.4,62,3,W,22,1022.0,,,,,,1018.3
,2021-07-28,6.8,20.2,0,,,,,,17.0,41,7,W,22,1014.8,,,,,,1008.1
,2021-07-29,5.1,16.2,5.8,,,,,,11.5,45,0,W,22,1016.2,,,,,,1016.2
,2021-07-30,-1.6,18.5,0.2,,,,,,10.0,60,0, ,Calm,1021.9,,,,,,1018.6
,2021-07-31,0.8,21.7,0,,,,,,14.6,52,1,W,9,1018.7,,,,,,1013.8
