"Daily Weather Observations for Port Macquarie, New South Wales for October 2020"
"Prepared at 13:01 UTC on Tuesday 12 October 2021   IDCJDW2197.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations prior to 15 October 2020 are available at Port Macquarie Airport (Comparison) {station number 060139}."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Port Maquarie (Port Macquarie Airport Aw {station 060168}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,,,,,,,,,,,,,,,,,,,,
,2020-10-2,,,,,,,,,,,,,,,,,,,,
,2020-10-3,,,,,,,,,,,,,,,,,,,,
,2020-10-4,,,,,,,,,,,,,,,,,,,,
,2020-10-5,,,,,,,,,,,,,,,,,,,,
,2020-10-6,,,,,,,,,,,,,,,,,,,,
,2020-10-7,,,,,,,,,,,,,,,,,,,,
,2020-10-8,,,,,,,,,,,,,,,,,,,,
,2020-10-9,,,,,,,,,,,,,,,,,,,,
,2020-10-10,,,,,,,,,,,,,,,,,,,,
,2020-10-11,,,,,,,,,,,,,,,,,,,,
,2020-10-12,,,,,,,,,,,,,,,,,,,,
,2020-10-13,,,,,,,,,,,,,,,,,,,,
,2020-10-14,,,,,,,,,,,,,,,,,,,,
,2020-10-15,,,,,,,,,,,,,,,22.9,59,,ENE,26,
,2020-10-16,,28.6,,,,S,52,12:53,21.3,64,,NW,11,,23.6,66,1,S,30,
,2020-10-17,13.9,26.6,0,,,NE,43,14:48,21.8,72,7,NNE,17,1017.0,24.6,66,,NNE,26,1011.4
,2020-10-18,16.7,25.0,0,,,SSW,31,03:23,22.5,71,7,NNE,7,1012.2,22.6,70,7,NNE,7,1010.6
,2020-10-19,15.8,22.4,3.6,,,SSE,46,08:55,20.1,89,8,SE,17,1013.4,21.7,71,8,SSE,26,1014.4
,2020-10-20,12.7,23.1,13.0,,,ENE,28,13:16,19.2,75,,WSW,7,1019.0,20.2,60,8,ENE,17,1017.7
,2020-10-21,8.3,22.8,0,,,E,31,12:48,19.3,70,,NNE,6,1018.2,22.0,62,,ENE,20,1015.1
,2020-10-22,10.5,25.7,0,,,NE,39,12:39,20.7,64,,NNE,7,1015.4,24.0,62,4,ENE,24,1013.2
,2020-10-23,14.3,26.4,0,,,NE,44,12:00,20.8,83,,NNE,11,1015.4,24.7,68,,NE,30,1011.7
,2020-10-24,19.5,23.3,2.4,,,NNE,33,13:11,19.9,97,7,NNE,11,1010.3,22.2,85,8,N,20,1005.8
,2020-10-25,18.1,24.1,2.8,,,SSW,37,13:17,19.8,87,8,SSW,17,1009.8,19.7,80,7,SSW,20,1010.2
,2020-10-26,15.0,24.3,7.6,,,WSW,39,21:11,20.0,70,4,W,6,1012.0,22.6,68,8,ESE,11,1009.9
,2020-10-27,14.0,24.3,17.2,,,SSE,41,14:37,19.9,69,,WSW,19,1017.8,22.0,69,2,S,24,1014.8
,2020-10-28,12.2,22.2,0.2,,,SSE,28,11:51,18.9,79,7,WSW,7,1018.7,20.5,79,8,ESE,11,1015.1
,2020-10-29,13.1,21.8,22.0,,,W,33,13:14,18.9,87,1,S,9,1012.3,15.2,91,8,WNW,9,1010.8
,2020-10-30,8.3,24.1,6.2,,,ENE,31,14:33,18.2,76,, ,Calm,1011.3,22.4,66,,NE,20,1008.6
,2020-10-31,17.3,27.9,3.4,,,ENE,43,14:02,23.2,83,,N,11,1006.5,24.7,77,2,NE,26,1005.1
