"Daily Weather Observations for Port Macquarie, New South Wales for May 2021"
"Prepared at 13:01 UTC on Tuesday 19 October 2021   IDCJDW2197.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations prior to 15 October 2020 are available at Port Macquarie Airport (Comparison) {station number 060139}."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Port Maquarie (Port Macquarie Airport Aw {station 060168}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,13.6,23.9,10.0,,,E,30,13:45,18.4,87,,WSW,7,1030.3,22.6,66,,NE,19,1027.7
,2021-05-2,12.7,21.4,1.6,,,N,22,12:52,17.7,94,6,WNW,7,1028.5,20.2,86,8,WNW,4,1025.1
,2021-05-3,13.8,23.6,1.2,,,E,24,15:18,17.8,79,1,W,11,1022.9,22.3,78,,ENE,17,1019.1
,2021-05-4,11.4,24.8,0.2,,,ENE,31,13:29,16.8,93,,N,2,1016.8,21.6,80,7,NE,19,1012.9
,2021-05-5,12.9,20.0,1.2,,,W,24,20:24,16.6,88,,SW,9,1013.2,17.8,83,8,SW,7,1011.7
,2021-05-6,15.3,23.7,10.0,,,SW,30,02:03,18.8,84,6,WSW,17,1009.0,22.3,72,,SSE,19,1006.7
,2021-05-7,16.5,24.5,2.0,,,SSW,33,12:56,19.4,91,8,W,7,1008.8,21.7,85,8,SW,9,1007.9
,2021-05-8,12.2,25.1,0.4,,,ENE,20,13:39,19.7,82,,NNW,6,1014.4,22.8,81,,ENE,15,1012.9
,2021-05-9,16.2,20.4,2.4,,,W,30,12:16,18.1,98,8,W,7,1018.9,16.5,100,8, ,Calm,1017.5
,2021-05-10,14.3,24.5,30.0,,,NE,20,14:18,17.5,85,,W,7,1017.2,22.4,68,1,ENE,15,1013.5
,2021-05-11,10.8,23.7,0,,,NE,20,14:23,16.6,94,8,NW,7,1016.7,22.1,59,1,ENE,11,1014.4
,2021-05-12,14.6,22.1,0.4,,,NNE,24,17:44,19.1,81,,WSW,9,1018.6,20.6,87,8,S,11,1015.4
,2021-05-13,12.5,22.3,1.4,,,SSW,20,10:51,17.6,83,,WNW,11,1013.5,21.4,77,,SSE,13,1009.6
,2021-05-14,7.7,23.5,0,,,W,31,10:05,17.1,63,,WNW,15,1012.9,22.3,41,,S,11,1011.1
,2021-05-15,7.7,19.7,0,,,SW,35,20:10,15.6,58,,W,13,1015.4,18.6,48,8,NE,2,1011.3
,2021-05-16,8.8,19.5,0,,,WSW,30,10:03,14.6,58,,WSW,15,1020.1,18.9,49,,S,11,1018.4
,2021-05-17,2.0,19.4,0,,,SW,28,11:45,12.2,62,,WNW,9,1022.0,19.0,45,,SW,13,1021.7
,2021-05-18,9.1,20.7,0,,,W,26,02:58,14.5,67,,WNW,6,1028.4,19.6,51,,SSE,11,1026.5
,2021-05-19,8.2,21.5,0,,,ENE,22,15:09,14.8,75,,WNW,11,1029.0,20.2,65,,ENE,13,1026.2
,2021-05-20,8.3,21.9,0,,,WNW,19,03:11,14.8,78,,WNW,9,1027.9,20.8,56,,ESE,11,1024.9
,2021-05-21,7.2,20.9,0,,,SW,30,12:25,15.2,76,7,W,13,1027.9,19.5,72,3,SSW,11,1025.3
,2021-05-22,12.9,20.6,11.4,,,SW,24,14:33,16.4,89,7,WSW,11,1026.2,19.0,78,8,SSW,13,1023.7
,2021-05-23,9.0,21.1,1.4,,,S,24,14:19,16.0,83,,W,7,1026.2,19.7,65,,SSE,15,1024.6
,2021-05-24,10.2,21.0,0,,,ESE,28,14:02,16.2,89,6,W,7,1029.6,17.3,83,8, ,Calm,1027.6
,2021-05-25,11.1,21.1,2.8,,,NE,20,15:18,15.5,92,7,WNW,7,1026.9,20.0,67,8,NE,13,1022.8
,2021-05-26,7.4,24.2,0,,,SW,20,23:34,12.3,99,7,NNW,7,1019.2,22.0,62,,N,11,1015.0
,2021-05-27,8.8,19.0,0,,,SW,30,11:13,14.4,62,,W,15,1023.0,17.7,59,1,SW,15,1020.3
,2021-05-28,5.6,18.7,0,,,WSW,46,13:55,14.0,62,,W,7,1022.5,17.4,47,4,SW,26,1021.1
,2021-05-29,11.6,17.1,0,,,SW,46,12:02,14.5,62,8,SW,22,1025.2,15.0,69,8,WSW,24,1023.8
,2021-05-30,11.6,18.7,0,,,WSW,46,10:12,14.3,81,5,SW,20,1025.6,17.0,69,8,SW,20,1023.7
,2021-05-31,10.9,19.8,0,,,W,28,12:22,15.7,74,7,W,13,1025.0,19.0,62,8,SW,13,1022.4
